_c0,County-State,Drop_Out_Rate_By_County
44,OUTAGAMIE-WI,0.017730870712401054
45,OZAUKEE-WI,0.026118647499493823
46,PEPIN-WI,0.18439716312056736
47,PIERCE-WI,0.024687595245352027
48,POLK-WI,0.04257475924987329
49,PORTAGE-WI,0.03932009010853983
50,PRICE-WI,0.02729044834307992
51,RACINE-WI,0.11280549383962836
52,RICHLAND-WI,0.18772136953955135
53,ROCK-WI,0.050184956843403204
54,RUSK-WI,0.17399267399267399
55,ST. CROIX-WI,0.01949317738791423
56,SAUK-WI,0.14504303474657315
57,SAWYER-WI,0.1263537906137184
58,SHAWANO-WI,0.05647176411794103
59,SHEBOYGAN-WI,0.026692941597993552
60,TAYLOR-WI,0.08736942070275404
61,TREMPEALEAU-WI,0.09169675090252707
62,VERNON-WI,0.1795031055900621
63,VILAS-WI,0.13493253373313344
64,WALWORTH-WI,0.03465506125080593
65,WASHBURN-WI,0.0492845786963434
66,WASHINGTON-WI,0.04085489968013958
67,WAUKESHA-WI,0.012291775425940867
68,WAUPACA-WI,0.07142857142857142
69,WAUSHARA-WI,0.14826498422712933
70,WINNEBAGO-WI,0.050185676392572945
71,WOOD-WI,0.027760051052967454
0,ANDROSCOGGIN-ME,0.0671559633027523
1,AROOSTOOK-ME,0.046973518284993694
2,CUMBERLAND-ME,0.022950819672131147
3,FRANKLIN-ME,0.04047619047619048
4,HANCOCK-ME,0.01707317073170732
5,KENNEBEC-ME,0.06383678841724251
6,KNOX-ME,0.14276568501920614
7,LINCOLN-ME,0.1133768352365416
8,OXFORD-ME,0.10314075222954634
9,PENOBSCOT-ME,0.030476833108412055
10,PISCATAQUIS-ME,0.025157232704402517
11,SAGADAHOC-ME,0.02595529920692141
12,SOMERSET-ME,0.041879944160074456
13,WALDO-ME,0.15134529147982062
14,WASHINGTON-ME,0.045674740484429065
15,YORK-ME,0.050127820384572634
0,ADAMS-PA,0.04449778434268833
1,ALLEGHENY-PA,0.03387419660731219
2,ARMSTRONG-PA,0.05415929203539823
3,BEAVER-PA,0.026346265199768383
4,BEDFORD-PA,0.09752808988764045
5,BERKS-PA,0.0632128681846668
6,BLAIR-PA,0.0977928145642017
7,BRADFORD-PA,0.06310505557547508
8,BUCKS-PA,0.03938216373314175
9,BUTLER-PA,0.02235318024791709
10,CAMBRIA-PA,0.027403282532239157
11,CAMERON-PA,0.028169014084507043
12,CARBON-PA,0.13298073290517567
13,CENTRE-PA,0.04266023432115782
14,CHESTER-PA,0.031830511966486966
15,CLARION-PA,0.10373792524149517
16,CLEARFIELD-PA,0.05593275137407048
17,CLINTON-PA,0.22087175188600167
18,COLUMBIA-PA,0.049784041827688114
19,CRAWFORD-PA,0.1506640539952101
20,CUMBERLAND-PA,0.05487941461957739
21,DAUPHIN-PA,0.1087738086131722
22,DELAWARE-PA,0.03737431227471068
23,ELK-PA,0.04100946372239748
24,ERIE-PA,0.053542278811622594
25,FAYETTE-PA,0.05745257452574526
26,FOREST-PA,0.03137254901960784
27,FRANKLIN-PA,0.1165636588380717
28,FULTON-PA,0.013245033112582781
29,GREENE-PA,0.033367556468172486
30,HUNTINGDON-PA,0.06172839506172839
31,INDIANA-PA,0.13071371291098638
32,JEFFERSON-PA,0.1575274177467597
33,JUNIATA-PA,0.13177041228779304
34,LACKAWANNA-PA,0.06112781269928031
35,LANCASTER-PA,0.2437702755694984
36,LAWRENCE-PA,0.048864418444597386
37,LEBANON-PA,0.10735930735930736
38,LEHIGH-PA,0.03765249259500979
39,LUZERNE-PA,0.0662063625217784
40,LYCOMING-PA,0.08584610314714121
41,MCKEAN-PA,0.0053309640159928924
42,MERCER-PA,0.07678965625985494
43,MIFFLIN-PA,0.29680150517403575
44,MONROE-PA,0.020674858591769065
45,MONTGOMERY-PA,0.027547378474840397
46,MONTOUR-PA,0.07448107448107448
47,NORTHAMPTON-PA,0.039733969986357434
48,NORTHUMBERLAND-PA,0.1102921821531982
49,PERRY-PA,0.23761904761904762
50,PHILADELPHIA-PA,0.04906094288999617
51,PIKE-PA,0.02427000379218809
52,POTTER-PA,0.05121293800539083
53,SCHUYLKILL-PA,0.04760308414347972
54,SNYDER-PA,0.11681914144968332
55,SOMERSET-PA,0.1056822294607311
56,SULLIVAN-PA,0.05737704918032787
57,SUSQUEHANNA-PA,0.046875
58,TIOGA-PA,0.05383580080753701
59,UNION-PA,0.16761133603238867
60,VENANGO-PA,0.14404553415061297
61,WARREN-PA,0.038312048861743477
62,WASHINGTON-PA,0.04287540564460616
63,WAYNE-PA,0.11027190332326284
64,WESTMORELAND-PA,0.026422633240961526
65,WYOMING-PA,0.03717201166180758
66,YORK-PA,0.06619321988476484
0,BARNSTABLE-MA,0.03222748815165877
1,BERKSHIRE-MA,0.027859011851623827
2,BRISTOL-MA,0.07345988040606313
3,DUKES-MA,0.0096051227321238
4,ESSEX-MA,0.044783617616803426
5,FRANKLIN-MA,0.040105193951347796
