
County-State,Percentage of Teens Who Work Part or Full time
EL PASO-CO,0.5618815768807915
FREMONT-CO,0.4547770700636943
GARFIELD-CO,0.5479585223590409
GILPIN-CO,0.5778688524590164
GRAND-CO,0.458128078817734
GUNNISON-CO,0.75787728026534
HINSDALE-CO,1.0
HUERFANO-CO,0.10839160839160839
JACKSON-CO,0.5303030303030303
JEFFERSON-CO,0.5682052456763257
KIOWA-CO,0.6666666666666666
KIT CARSON-CO,0.7331288343558282
LAKE-CO,0.7220708446866485
LA PLATA-CO,0.5638043106397537
LARIMER-CO,0.6809016549362754
LAS ANIMAS-CO,0.4812680115273775
LINCOLN-CO,0.38461538461538464
LOGAN-CO,0.623860811930406
MESA-CO,0.614949446316803
MINERAL-CO,0.19047619047619047
MOFFAT-CO,0.40514469453376206
MONTEZUMA-CO,0.44134615384615383
MONTROSE-CO,0.5678552421500799
MORGAN-CO,0.6117283950617284
OTERO-CO,0.41163793103448276
OURAY-CO,0.48695652173913045
PARK-CO,0.3775700934579439
PHILLIPS-CO,0.42934782608695654
PITKIN-CO,0.4672330097087379
PROWERS-CO,0.46496815286624205
PUEBLO-CO,0.4555789967182372
RIO BLANCO-CO,0.5772357723577236
RIO GRANDE-CO,0.5391891891891892
ROUTT-CO,0.5947416137805984
SAGUACHE-CO,0.6374501992031872
SAN JUAN-CO,0.0
SAN MIGUEL-CO,0.4714828897338403
SEDGWICK-CO,0.4818181818181818
SUMMIT-CO,0.5748194014447885
TELLER-CO,0.669501822600243
WASHINGTON-CO,0.5411764705882353
WELD-CO,0.5244840369612128
YUMA-CO,0.6417910447761194
FAIRFIELD-CT,0.4875825090493796
HARTFORD-CT,0.4644720654986637
LITCHFIELD-CT,0.5211543164587918
MIDDLESEX-CT,0.5823298107643156
NEW HAVEN-CT,0.4943831998994006
NEW LONDON-CT,0.6102478587129538
TOLLAND-CT,0.6125290023201856
WINDHAM-CT,0.5996430696014278
KENT-DE,0.5030733361593895
NEW CASTLE-DE,0.4989126553929047
SUSSEX-DE,0.6205761316872428
ALACHUA-FL,0.4562406634729305
BAKER-FL,0.5164075993091537
BAY-FL,0.5042113323124043
BRADFORD-FL,0.3125533731853117
BREVARD-FL,0.4174066106004303
BROWARD-FL,0.3499908975059166
CALHOUN-FL,0.23177083333333334
CHARLOTTE-FL,0.4602017937219731
CITRUS-FL,0.3790741125181648
CLAY-FL,0.3686789151356081
COLLIER-FL,0.41442568271836566
COLUMBIA-FL,0.3054545454545455
DESOTO-FL,0.39980009995002497
DIXIE-FL,0.34970238095238093
DUVAL-FL,0.3899418578034153
ESCAMBIA-FL,0.5552022804517048
FLAGLER-FL,0.4471491228070175
FRANKLIN-FL,0.4387254901960784
GADSDEN-FL,0.2401987852015461
GILCHRIST-FL,0.3624733475479744
GLADES-FL,0.1709741550695825
GULF-FL,0.420863309352518
HAMILTON-FL,0.18518518518518517
HARDEE-FL,0.2586333578251286
HENDRY-FL,0.32932113625421283
HERNANDO-FL,0.4315926892950392
HIGHLANDS-FL,0.3693621563917801
HILLSBOROUGH-FL,0.3777119910091416
HOLMES-FL,0.28339140534262486
INDIAN RIVER-FL,0.5267084958453451
JACKSON-FL,0.3620535714285714
JEFFERSON-FL,0.24242424242424243
LAFAYETTE-FL,0.3977272727272727
LAKE-FL,0.4022527814249188
LEE-FL,0.4158165775576475
LEON-FL,0.49747584646183307
LEVY-FL,0.262434554973822
LIBERTY-FL,0.17685589519650655
MADISON-FL,0.1715210355987055
MANATEE-FL,0.4697584541062802
MARION-FL,0.34536330514882796
MARTIN-FL,0.5133989145183175
MIAMI-DADE-FL,0.2476824133036217
MONROE-FL,0.4242658423493045
NASSAU-FL,0.5062300782381919
OKALOOSA-FL,0.549128455645609
OKEECHOBEE-FL,0.3321197411003236
ORANGE-FL,0.26455639643665
OSCEOLA-FL,0.3383848072127374
PALM BEACH-FL,0.38649482944898905
PASCO-FL,0.3655999331550802
PINELLAS-FL,0.4476740875704606
POLK-FL,0.29747163508610264
PUTNAM-FL,0.27029840388619014
ST. JOHNS-FL,0.44086197045139175
ST. LUCIE-FL,0.39499215294621204
SANTA ROSA-FL,0.45932686822589847
SARASOTA-FL,0.5208163265306123
SEMINOLE-FL,0.34735538327446214
SUMTER-FL,0.45417680454176806
SUWANNEE-FL,0.39143468950749466
TAYLOR-FL,0.2966666666666667
UNION-FL,0.3775280898876405
VOLUSIA-FL,0.316255454850621
WAKULLA-FL,0.4194018964259664
WALTON-FL,0.46401384083044983
WASHINGTON-FL,0.4096638655462185
