County-State,Median-Household-Income
HENDRY-FL,36978
HERNANDO-FL,50280
HIGHLANDS-FL,43708
HILLSBOROUGH-FL,60566
HOLMES-FL,39215
INDIAN RIVER-FL,57945
JACKSON-FL,40754
JEFFERSON-FL,49081
LAFAYETTE-FL,51734
LAKE-FL,55792
LEE-FL,59608
LEON-FL,54675
LEVY-FL,38951
LIBERTY-FL,39121
MADISON-FL,35240
MANATEE-FL,59963
MARION-FL,46587
MARTIN-FL,65821
MIAMI-DADE-FL,53975
MONROE-FL,72012
NASSAU-FL,72998
OKALOOSA-FL,64373
OKEECHOBEE-FL,46097
ORANGE-FL,61416
OSCEOLA-FL,55538
PALM BEACH-FL,65015
PASCO-FL,53431
PINELLAS-FL,56419
POLK-FL,51535
PUTNAM-FL,40068
ST. JOHNS-FL,83803
ST. LUCIE-FL,55237
SANTA ROSA-FL,70663
SARASOTA-FL,64644
SEMINOLE-FL,70297
SUMTER-FL,59618
SUWANNEE-FL,46280
TAYLOR-FL,38295
UNION-FL,55139
VOLUSIA-FL,52407
WAKULLA-FL,67480
WALTON-FL,67390
WASHINGTON-FL,37260
APPLING-GA,37924
ATKINSON-GA,35703
BACON-GA,36692
BAKER-GA,34034
BALDWIN-GA,46250
BANKS-GA,50912
BARROW-GA,62990
BARTOW-GA,61226
BEN HILL-GA,32077
BERRIEN-GA,42089
BIBB-GA,41317
BLECKLEY-GA,46992
BRANTLEY-GA,34679
BROOKS-GA,37516
BRYAN-GA,76121
BULLOCH-GA,48786
BURKE-GA,45699
BUTTS-GA,48282
CALHOUN-GA,41962
CAMDEN-GA,60594
CANDLER-GA,36955
CARROLL-GA,59197
CATOOSA-GA,58932
CHARLTON-GA,42743
CHATHAM-GA,57739
CHATTAHOOCHEE-GA,45700
CHATTOOGA-GA,37351
CHEROKEE-GA,84817
CLARKE-GA,40363
CLAY-GA,32434
CLAYTON-GA,49460
CLINCH-GA,38844
COBB-GA,80830
COFFEE-GA,42526
COLQUITT-GA,36799
COLUMBIA-GA,82251
COOK-GA,40943
COWETA-GA,79795
CRAWFORD-GA,47917
CRISP-GA,38272
DADE-GA,40384
DAWSON-GA,72260
DECATUR-GA,40567
DEKALB-GA,65116
DODGE-GA,42211
DOOLY-GA,48039
DOUGHERTY-GA,40947
DOUGLAS-GA,67651
EARLY-GA,34811
ECHOLS-GA,44454
EFFINGHAM-GA,67050
ELBERT-GA,39323
EMANUEL-GA,38423
EVANS-GA,46392
FANNIN-GA,46028
FAYETTE-GA,93777
FLOYD-GA,50657
FORSYTH-GA,112834
FRANKLIN-GA,47821
FULTON-GA,72741
GILMER-GA,57376
GLASCOCK-GA,46500
GLYNN-GA,56952
GORDON-GA,48662
GRADY-GA,48047
GREENE-GA,57880
GWINNETT-GA,72787
HABERSHAM-GA,54147
HALL-GA,63651
HANCOCK-GA,32914
HARALSON-GA,52021
HARRIS-GA,79860
HART-GA,45874
HEARD-GA,50583
HENRY-GA,71110
HOUSTON-GA,65870
IRWIN-GA,41484
JACKSON-GA,68307
JASPER-GA,52409
JEFF DAVIS-GA,36987
JEFFERSON-GA,37009
JENKINS-GA,25712
JOHNSON-GA,42421
JONES-GA,63046
LAMAR-GA,50088
LANIER-GA,32158
LAURENS-GA,39476
LEE-GA,68338
LIBERTY-GA,50411
LINCOLN-GA,42036
LONG-GA,52099
LOWNDES-GA,46113
LUMPKIN-GA,52872
MCDUFFIE-GA,47327
MCINTOSH-GA,56262
MACON-GA,31910
MADISON-GA,51142
MARION-GA,52450
MERIWETHER-GA,40769
MILLER-GA,49771
MITCHELL-GA,39404
MONROE-GA,60491
MONTGOMERY-GA,45230
MORGAN-GA,68669
MURRAY-GA,51133
MUSCOGEE-GA,47418
NEWTON-GA,59178
OCONEE-GA,95064
OGLETHORPE-GA,52816
PAULDING-GA,74154
PEACH-GA,50267
PICKENS-GA,68365
PIERCE-GA,48969
PIKE-GA,68138
POLK-GA,46846
PULASKI-GA,42213
PUTNAM-GA,52910
QUITMAN-GA,34394
RABUN-GA,44871
RANDOLPH-GA,29400
RICHMOND-GA,43882
ROCKDALE-GA,62505
SCHLEY-GA,49105
SCREVEN-GA,39852
SEMINOLE-GA,35286
SPALDING-GA,48970
STEPHENS-GA,46766
STEWART-GA,34028
SUMTER-GA,37174
TALBOT-GA,40020
TALIAFERRO-GA,37717
TATTNALL-GA,44053
TAYLOR-GA,28550
TELFAIR-GA,32764
TERRELL-GA,35335
THOMAS-GA,47133
TIFT-GA,44827
TOOMBS-GA,41244
TOWNS-GA,51257
TREUTLEN-GA,32072
TROUP-GA,46796
TURNER-GA,34514
TWIGGS-GA,43477
UNION-GA,49703
UPSON-GA,39221
WALKER-GA,46601
WALTON-GA,65491
WARE-GA,37041
WARREN-GA,38250
WASHINGTON-GA,36402
WAYNE-GA,45773
WEBSTER-GA,31629
WHEELER-GA,28864
WHITE-GA,55788
WHITFIELD-GA,50055
WILCOX-GA,39216
WILKES-GA,36486
WILKINSON-GA,36896
WORTH-GA,50913
HAWAII-HI,65401
HONOLULU-HI,87722
KALAWAO-HI,76465
KAUAI-HI,82818
MAUI-HI,84363
ADA-ID,69952
ADAMS-ID,50309
BANNOCK-ID,51977
BEAR LAKE-ID,52829
BENEWAH-ID,47983
BINGHAM-ID,58260
BLAINE-ID,64627
BOISE-ID,51760
BONNER-ID,51594
BONNEVILLE-ID,61435
BOUNDARY-ID,45319
BUTTE-ID,37404
CAMAS-ID,36908
CANYON-ID,56916
CARIBOU-ID,58099
CASSIA-ID,52256
CLARK-ID,36429
CLEARWATER-ID,42413
CUSTER-ID,44757
ELMORE-ID,45656
FRANKLIN-ID,59934
FREMONT-ID,56825
GEM-ID,53720
GOODING-ID,50057
IDAHO-ID,44951
JEFFERSON-ID,65577
JEROME-ID,55521
KOOTENAI-ID,60903
LATAH-ID,51312
LEMHI-ID,38819
LEWIS-ID,42370
LINCOLN-ID,52363
MADISON-ID,44419
MINIDOKA-ID,53011
NEZ PERCE-ID,57099
ONEIDA-ID,54484
OWYHEE-ID,48601
PAYETTE-ID,52788
POWER-ID,51014
SHOSHONE-ID,40483
TETON-ID,73274
TWIN FALLS-ID,53363
VALLEY-ID,63115
WASHINGTON-ID,42126
ADAMS-IL,55052
ALEXANDER-IL,34709
BOND-IL,53568
BOONE-IL,70396
BROWN-IL,60694
BUREAU-IL,55549
CALHOUN-IL,66602
CARROLL-IL,52813
CASS-IL,53899
CHAMPAIGN-IL,53936
CHRISTIAN-IL,52120
CLARK-IL,59481
CLAY-IL,52167
CLINTON-IL,67179
COLES-IL,46411
COOK-IL,67886
CRAWFORD-IL,50968
CUMBERLAND-IL,59271
DEKALB-IL,62353
DE WITT-IL,57727
DOUGLAS-IL,59620
DUPAGE-IL,94930
EDGAR-IL,48543
EDWARDS-IL,53801
EFFINGHAM-IL,59932
FAYETTE-IL,45634
FORD-IL,50582
FRANKLIN-IL,43671
FULTON-IL,52243
GALLATIN-IL,43092
GREENE-IL,51746
GRUNDY-IL,75767
HAMILTON-IL,55977
HANCOCK-IL,55818
HARDIN-IL,50847
HENDERSON-IL,55759
HENRY-IL,60000
IROQUOIS-IL,54445
JACKSON-IL,39689
JASPER-IL,55911
JEFFERSON-IL,51662
JERSEY-IL,67845
JO DAVIESS-IL,59223
JOHNSON-IL,55363
KANE-IL,83374
KANKAKEE-IL,59370
KENDALL-IL,96854
KNOX-IL,44464
LAKE-IL,92654
LASALLE-IL,60069
LAWRENCE-IL,53087
LEE-IL,59986
LIVINGSTON-IL,58676
LOGAN-IL,58122
MCDONOUGH-IL,43591
MCHENRY-IL,90014
MCLEAN-IL,68037
MACON-IL,53725
MACOUPIN-IL,56264
MADISON-IL,64045
MARION-IL,49925
MARSHALL-IL,57303
MASON-IL,50883
MASSAC-IL,51195
MENARD-IL,77550
MERCER-IL,57182
MONROE-IL,89648
MONTGOMERY-IL,54886
MORGAN-IL,53002
MOULTRIE-IL,64033
OGLE-IL,63643
PEORIA-IL,55729
PERRY-IL,51616
PIATT-IL,73668
PIKE-IL,46605
POPE-IL,43140
PULASKI-IL,37308
PUTNAM-IL,64694
RANDOLPH-IL,55319
RICHLAND-IL,55032
ROCK ISLAND-IL,55980
ST. CLAIR-IL,57473
SALINE-IL,43928
SANGAMON-IL,61743
SCHUYLER-IL,51376
SCOTT-IL,59352
SHELBY-IL,59134
STARK-IL,53828
STEPHENSON-IL,50466
TAZEWELL-IL,66220
UNION-IL,51655
VERMILION-IL,46842
WABASH-IL,48878
WARREN-IL,54291
WASHINGTON-IL,64390
WAYNE-IL,50205
WHITE-IL,48303
