Drop_Out_Rate_By_County,SVI,Graduation-Rate,Percentage of Teens Who Work Part or Full time,Percentage-Private-School,Percentage-Public-School
0.04856099082241825,0.2675,92.8,0.7420475808607324,0.16666666666666666,0.8333333333333334
0.04861134718020192,0.4669,85.2,0.6148145630077846,0.19838056680161945,0.8016194331983806
0.04876398966916738,0.6223,88.07,0.6140696101340548,0.32407407407407407,0.6759259259259259
0.049107142857142856,0.7904,93.42,0.3787202380952381,0.07142857142857142,0.9285714285714286
0.04912280701754386,0.5213,87.5,0.7824561403508772,0.16666666666666666,0.8333333333333334
0.049134734239802226,0.6701,89.18,0.6276266996291718,0.13513513513513514,0.8648648648648649
0.04926242942997632,0.6876,59.96,0.5264979056638135,0.16279069767441862,0.8372093023255814
0.04964539007092199,0.4548,91.07,0.6485421591804571,0.25,0.75
0.049784041827688114,0.2768,87.52,0.2843828142759718,0.24,0.76
0.049789029535864976,0.9621,76.48,0.42953586497890295,0.0625,0.9375
0.05,0.271,81.02,0.6896739130434782,0.1,0.9
0.0503989920201596,0.8236,80.42,0.6404871902561948,0.125,0.875
0.050642479213907785,0.301,85.5,0.6470143613000756,0.058823529411764705,0.9411764705882353
0.050724637681159424,0.5478,90.0,0.490036231884058,0.01818181818181818,0.9818181818181818
0.050906776964683424,0.7551,83.79,0.4820235443843462,0.07692307692307693,0.9230769230769231
0.05126498002663116,0.1194,78.97,0.6809016549362754,0.12149532710280374,0.8785046728971962
0.051324693198761324,0.1404,84.81,0.6182475054478724,0.16666666666666666,0.8333333333333334
0.05186267348429511,0.6462,86.88,0.514609203798393,0.043478260869565216,0.9565217391304348
0.05256804214223003,0.5099,80.15,0.5662862159789289,0.16176470588235295,0.8382352941176471
0.052615395127951076,0.2016,94.8,0.4918172810823738,0.04220183486238532,0.9577981651376147
0.05275136596854902,0.8175,78.0,0.2476824133036217,0.41952789699570814,0.5804721030042919
0.05277777777777778,0.4971,82.5,0.3111111111111111,0.16666666666666666,0.8333333333333334
0.05343796711509716,0.4889,76.0,0.4602017937219731,0.23529411764705882,0.7647058823529411
0.05389250894125717,0.6624,76.41,0.4528440546764,0.10227272727272728,0.8977272727272727
