,NAME,State,Total Population 16 to 19 Years,Total_Male_Dropout,Total_Female_Dropout,Total_Dropout,County
29,Skamania County,Washington,524,6,57,63,Skamania 
30,Snohomish County,Washington,37003,1050,975,2025,Snohomish 
31,Spokane County,Washington,25563,952,582,1534,Spokane 
32,Stevens County,Washington,1934,114,40,154,Stevens 
33,Thurston County,Washington,13497,597,623,1220,Thurston 
34,Wahkiakum County,Washington,148,48,0,48,Wahkiakum 
35,Walla Walla County,Washington,3908,236,2,238,Walla Walla 
36,Whatcom County,Washington,12391,325,57,382,Whatcom 
37,Whitman County,Washington,7112,9,7,16,Whitman 
38,Yakima County,Washington,14530,925,605,1530,Yakima 
0,Adams County,North Dakota,155,0,0,0,Adams 
1,Barnes County,North Dakota,583,123,2,125,Barnes 
2,Benson County,North Dakota,384,26,10,36,Benson 
3,Billings County,North Dakota,56,0,0,0,Billings 
4,Bottineau County,North Dakota,354,4,0,4,Bottineau 
5,Bowman County,North Dakota,137,23,1,24,Bowman 
6,Burke County,North Dakota,57,0,0,0,Burke 
7,Burleigh County,North Dakota,5017,72,143,215,Burleigh 
8,Cass County,North Dakota,9522,81,50,131,Cass 
9,Cavalier County,North Dakota,91,0,0,0,Cavalier 
10,Dickey County,North Dakota,261,12,13,25,Dickey 
11,Divide County,North Dakota,84,0,4,4,Divide 
12,Dunn County,North Dakota,216,0,5,5,Dunn 
13,Eddy County,North Dakota,72,0,0,0,Eddy 
14,Emmons County,North Dakota,86,6,1,7,Emmons 
15,Foster County,North Dakota,99,0,0,0,Foster 
16,Golden Valley County,North Dakota,79,10,5,15,Golden Valley 
17,Grand Forks County,North Dakota,4928,269,9,278,Grand Forks 
18,Grant County,North Dakota,80,1,0,1,Grant 
19,Griggs County,North Dakota,58,0,0,0,Griggs 
20,Hettinger County,North Dakota,45,0,17,17,Hettinger 
21,Kidder County,North Dakota,150,0,0,0,Kidder 
22,LaMoure County,North Dakota,151,18,15,33,LaMoure 
23,Logan County,North Dakota,67,0,2,2,Logan 
24,McHenry County,North Dakota,219,0,8,8,McHenry 
25,McIntosh County,North Dakota,62,17,1,18,McIntosh 
26,McKenzie County,North Dakota,570,25,101,126,McKenzie 
27,McLean County,North Dakota,330,7,0,7,McLean 
28,Mercer County,North Dakota,369,6,2,8,Mercer 
29,Morton County,North Dakota,1294,216,19,235,Morton 
30,Mountrail County,North Dakota,666,35,66,101,Mountrail 
31,Nelson County,North Dakota,90,0,0,0,Nelson 
32,Oliver County,North Dakota,50,4,0,4,Oliver 
33,Pembina County,North Dakota,264,32,24,56,Pembina 
34,Pierce County,North Dakota,150,0,0,0,Pierce 
35,Ramsey County,North Dakota,621,26,44,70,Ramsey 
36,Ransom County,North Dakota,176,1,6,7,Ransom 
37,Renville County,North Dakota,99,1,0,1,Renville 
38,Richland County,North Dakota,1235,8,55,63,Richland 
39,Rolette County,North Dakota,929,153,31,184,Rolette 
40,Sargent County,North Dakota,114,0,0,0,Sargent 
41,Sheridan County,North Dakota,40,13,0,13,Sheridan 
42,Sioux County,North Dakota,333,38,61,99,Sioux 
43,Slope County,North Dakota,36,0,0,0,Slope 
44,Stark County,North Dakota,1456,0,10,10,Stark 
45,Steele County,North Dakota,34,4,0,4,Steele 
46,Stutsman County,North Dakota,1159,120,0,120,Stutsman 
47,Towner County,North Dakota,46,0,0,0,Towner 
48,Traill County,North Dakota,520,0,0,0,Traill 
49,Walsh County,North Dakota,477,2,2,4,Walsh 
50,Ward County,North Dakota,3544,60,47,107,Ward 
51,Wells County,North Dakota,73,0,0,0,Wells 
52,Williams County,North Dakota,1356,280,28,308,Williams 
0,Fairfield County,Connecticut,51661,1034,660,1694,Fairfield 
1,Hartford County,Connecticut,47146,690,911,1601,Hartford 
2,Litchfield County,Connecticut,8178,146,115,261,Litchfield 
3,Middlesex County,Connecticut,8138,127,120,247,Middlesex 
4,New Haven County,Connecticut,47714,650,341,991,New Haven 
5,New London County,Connecticut,13193,268,78,346,New London 
6,Tolland County,Connecticut,12499,142,280,422,Tolland 
7,Windham County,Connecticut,6724,321,146,467,Windham 
0,Atlantic County,New Jersey,13980,273,77,350,Atlantic 
1,Bergen County,New Jersey,46082,681,49,730,Bergen 
2,Burlington County,New Jersey,21080,492,131,623,Burlington 
3,Camden County,New Jersey,24351,690,392,1082,Camden 
4,Cape May County,New Jersey,3658,160,88,248,Cape May 
5,Cumberland County,New Jersey,7192,278,641,919,Cumberland 
6,Essex County,New Jersey,39651,1166,470,1636,Essex 
7,Gloucester County,New Jersey,14847,133,162,295,Gloucester 
8,Hudson County,New Jersey,25296,899,442,1341,Hudson 
9,Hunterdon County,New Jersey,7289,170,152,322,Hunterdon 
10,Mercer County,New Jersey,22273,393,199,592,Mercer 
11,Middlesex County,New Jersey,44100,489,257,746,Middlesex 
12,Monmouth County,New Jersey,32624,276,337,613,Monmouth 
13,Morris County,New Jersey,26023,308,225,533,Morris 
14,Ocean County,New Jersey,27100,430,350,780,Ocean 
15,Passaic County,New Jersey,27166,685,358,1043,Passaic 
16,Salem County,New Jersey,3045,67,70,137,Salem 
17,Somerset County,New Jersey,16798,246,227,473,Somerset 
18,Sussex County,New Jersey,7035,17,50,67,Sussex 
19,Union County,New Jersey,27135,502,329,831,Union 
20,Warren County,New Jersey,5471,126,22,148,Warren 
0,Alcona County,Michigan,311,29,12,41,Alcona 
1,Alger County,Michigan,400,5,31,36,Alger 
2,Allegan County,Michigan,5978,254,50,304,Allegan 
3,Alpena County,Michigan,1267,97,39,136,Alpena 
4,Antrim County,Michigan,1016,37,18,55,Antrim 
5,Arenac County,Michigan,606,24,15,39,Arenac 
6,Baraga County,Michigan,334,26,55,81,Baraga 
7,Barry County,Michigan,2970,204,79,283,Barry 
8,Bay County,Michigan,4881,174,128,302,Bay 
9,Benzie County,Michigan,678,18,0,18,Benzie 
10,Berrien County,Michigan,7007,198,202,400,Berrien 
11,Branch County,Michigan,2139,104,114,218,Branch 
12,Calhoun County,Michigan,7187,217,83,300,Calhoun 
13,Cass County,Michigan,2705,43,99,142,Cass 
14,Charlevoix County,Michigan,1099,20,52,72,Charlevoix 
15,Cheboygan County,Michigan,1086,72,29,101,Cheboygan 
16,Chippewa County,Michigan,1888,141,114,255,Chippewa 
17,Clare County,Michigan,1321,186,142,328,Clare 
18,Clinton County,Michigan,3966,65,74,139,Clinton 
19,Crawford County,Michigan,567,38,4,42,Crawford 
20,Delta County,Michigan,1689,42,23,65,Delta 
21,Dickinson County,Michigan,1125,8,0,8,Dickinson 
22,Eaton County,Michigan,5419,279,92,371,Eaton 
23,Emmet County,Michigan,1528,36,8,44,Emmet 
24,Genesee County,Michigan,20411,674,426,1100,Genesee 
25,Gladwin County,Michigan,1151,61,30,91,Gladwin 
26,Gogebic County,Michigan,579,1,31,32,Gogebic 
27,Grand Traverse County,Michigan,4298,159,28,187,Grand Traverse 
28,Gratiot County,Michigan,2411,61,39,100,Gratiot 
29,Hillsdale County,Michigan,2525,156,47,203,Hillsdale 
30,Houghton County,Michigan,3004,39,11,50,Houghton 
31,Huron County,Michigan,1273,47,49,96,Huron 
32,Ingham County,Michigan,23624,219,262,481,Ingham 
33,Ionia County,Michigan,3678,118,56,174,Ionia 
34,Iosco County,Michigan,899,67,10,77,Iosco 
35,Iron County,Michigan,404,16,12,28,Iron 
36,Isabella County,Michigan,7393,238,267,505,Isabella 
37,Jackson County,Michigan,8000,249,137,386,Jackson 
38,Kalamazoo County,Michigan,15111,576,322,898,Kalamazoo 
39,Kalkaska County,Michigan,776,49,46,95,Kalkaska 
40,Kent County,Michigan,33800,967,471,1438,Kent 
41,Keweenaw County,Michigan,67,1,1,2,Keweenaw 
42,Lake County,Michigan,413,2,2,4,Lake 
43,Lapeer County,Michigan,4319,245,88,333,Lapeer 
44,Leelanau County,Michigan,785,28,16,44,Leelanau 
45,Lenawee County,Michigan,5113,193,135,328,Lenawee 
46,Livingston County,Michigan,10000,305,157,462,Livingston 
47,Luce County,Michigan,278,13,0,13,Luce 
48,Mackinac County,Michigan,357,54,16,70,Mackinac 
49,Macomb County,Michigan,40709,1129,889,2018,Macomb 
50,Manistee County,Michigan,980,31,24,55,Manistee 
51,Marquette County,Michigan,3799,54,170,224,Marquette 
52,Mason County,Michigan,1254,43,57,100,Mason 
53,Mecosta County,Michigan,3702,203,141,344,Mecosta 
54,Menominee County,Michigan,1002,79,8,87,Menominee 
55,Midland County,Michigan,4011,86,75,161,Midland 
56,Missaukee County,Michigan,713,8,27,35,Missaukee 
57,Monroe County,Michigan,7334,276,159,435,Monroe 
58,Montcalm County,Michigan,2775,150,144,294,Montcalm 
59,Montmorency County,Michigan,323,17,0,17,Montmorency 
60,Muskegon County,Michigan,8925,289,353,642,Muskegon 
61,Newaygo County,Michigan,2361,184,118,302,Newaygo 
62,Oakland County,Michigan,60024,1340,1261,2601,Oakland 
63,Oceana County,Michigan,1367,42,31,73,Oceana 
64,Ogemaw County,Michigan,926,37,16,53,Ogemaw 
65,Ontonagon County,Michigan,213,12,26,38,Ontonagon 
66,Osceola County,Michigan,1213,114,97,211,Osceola 
67,Oscoda County,Michigan,315,63,60,123,Oscoda 
68,Otsego County,Michigan,1122,84,103,187,Otsego 
69,Ottawa County,Michigan,20693,600,560,1160,Ottawa 
70,Presque Isle County,Michigan,454,14,12,26,Presque Isle 
71,Roscommon County,Michigan,759,238,26,264,Roscommon 
72,Saginaw County,Michigan,10649,282,224,506,Saginaw 
73,St. Clair County,Michigan,8247,359,351,710,St. Clair 
74,St. Joseph County,Michigan,3205,285,221,506,St. Joseph 
75,Sanilac County,Michigan,2012,157,74,231,Sanilac 
76,Schoolcraft County,Michigan,259,20,6,26,Schoolcraft 
77,Shiawassee County,Michigan,3641,114,159,273,Shiawassee 
78,Tuscola County,Michigan,2465,103,83,186,Tuscola 
79,Van Buren County,Michigan,3785,60,129,189,Van Buren 
80,Washtenaw County,Michigan,28724,216,236,452,Washtenaw 
81,Wayne County,Michigan,87524,3461,1928,5389,Wayne 
82,Wexford County,Michigan,1379,19,65,84,Wexford 
0,Adair County,Iowa,269,0,12,12,Adair 
1,Adams County,Iowa,120,0,0,0,Adams 
2,Allamakee County,Iowa,568,83,45,128,Allamakee 
3,Appanoose County,Iowa,559,28,38,66,Appanoose 
4,Audubon County,Iowa,208,8,0,8,Audubon 
5,Benton County,Iowa,1286,18,30,48,Benton 
6,Black Hawk County,Iowa,7592,122,243,365,Black Hawk 
7,Boone County,Iowa,1367,7,14,21,Boone 
8,Bremer County,Iowa,1737,59,0,59,Bremer 
9,Buchanan County,Iowa,1082,139,127,266,Buchanan 
10,Buena Vista County,Iowa,1423,14,189,203,Buena Vista 
11,Butler County,Iowa,570,5,8,13,Butler 
12,Calhoun County,Iowa,286,1,4,5,Calhoun 
13,Carroll County,Iowa,905,3,0,3,Carroll 
14,Cass County,Iowa,672,34,56,90,Cass 
15,Cedar County,Iowa,964,8,0,8,Cedar 
16,Cerro Gordo County,Iowa,1985,35,253,288,Cerro Gordo 
17,Cherokee County,Iowa,404,4,1,5,Cherokee 
18,Chickasaw County,Iowa,546,2,102,104,Chickasaw 
19,Clarke County,Iowa,408,16,52,68,Clarke 
20,Clay County,Iowa,736,0,25,25,Clay 
21,Clayton County,Iowa,740,41,152,193,Clayton 
22,Clinton County,Iowa,2309,54,38,92,Clinton 
23,Crawford County,Iowa,1080,7,43,50,Crawford 
24,Dallas County,Iowa,4074,195,15,210,Dallas 
25,Davis County,Iowa,525,228,208,436,Davis 
26,Decatur County,Iowa,540,0,4,4,Decatur 
27,Delaware County,Iowa,725,6,0,6,Delaware 
28,Des Moines County,Iowa,2028,119,20,139,Des Moines 
29,Dickinson County,Iowa,771,8,89,97,Dickinson 
30,Dubuque County,Iowa,5862,163,31,194,Dubuque 
31,Emmet County,Iowa,849,16,0,16,Emmet 
32,Fayette County,Iowa,1055,33,62,95,Fayette 
33,Floyd County,Iowa,758,46,62,108,Floyd 
34,Franklin County,Iowa,374,0,0,0,Franklin 
35,Fremont County,Iowa,303,5,0,5,Fremont 
36,Greene County,Iowa,448,4,61,65,Greene 
37,Grundy County,Iowa,624,0,11,11,Grundy 
38,Guthrie County,Iowa,514,16,0,16,Guthrie 
39,Hamilton County,Iowa,613,5,14,19,Hamilton 
40,Hancock County,Iowa,440,8,10,18,Hancock 
41,Hardin County,Iowa,1016,4,20,24,Hardin 
42,Harrison County,Iowa,645,41,20,61,Harrison 
43,Henry County,Iowa,994,12,2,14,Henry 
44,Howard County,Iowa,359,8,0,8,Howard 
45,Humboldt County,Iowa,340,0,0,0,Humboldt 
46,Ida County,Iowa,322,0,19,19,Ida 
47,Iowa County,Iowa,720,0,58,58,Iowa 
48,Jackson County,Iowa,950,12,5,17,Jackson 
49,Jasper County,Iowa,1611,29,31,60,Jasper 
50,Jefferson County,Iowa,522,0,66,66,Jefferson 
51,Johnson County,Iowa,11223,212,333,545,Johnson 
52,Jones County,Iowa,938,84,71,155,Jones 
53,Keokuk County,Iowa,492,19,18,37,Keokuk 
54,Kossuth County,Iowa,674,14,54,68,Kossuth 
55,Lee County,Iowa,1456,99,0,99,Lee 
56,Linn County,Iowa,12038,327,119,446,Linn 
57,Louisa County,Iowa,495,37,25,62,Louisa 
58,Lucas County,Iowa,460,76,16,92,Lucas 
59,Lyon County,Iowa,591,20,4,24,Lyon 
60,Madison County,Iowa,729,20,0,20,Madison 
61,Mahaska County,Iowa,1306,31,92,123,Mahaska 
62,Marion County,Iowa,2040,4,24,28,Marion 
63,Marshall County,Iowa,2091,102,99,201,Marshall 
64,Mills County,Iowa,707,15,14,29,Mills 
65,Mitchell County,Iowa,500,132,27,159,Mitchell 
66,Monona County,Iowa,323,4,0,4,Monona 
67,Monroe County,Iowa,397,17,14,31,Monroe 
68,Montgomery County,Iowa,463,39,0,39,Montgomery 
69,Muscatine County,Iowa,2260,47,21,68,Muscatine 
70,O'Brien County,Iowa,709,3,5,8,O'Brien 
71,Osceola County,Iowa,244,0,2,2,Osceola 
72,Page County,Iowa,666,10,0,10,Page 
73,Palo Alto County,Iowa,436,2,0,2,Palo Alto 
74,Plymouth County,Iowa,1348,83,56,139,Plymouth 
75,Pocahontas County,Iowa,205,21,6,27,Pocahontas 
76,Polk County,Iowa,24760,1006,747,1753,Polk 
77,Pottawattamie County,Iowa,5152,197,94,291,Pottawattamie 
78,Poweshiek County,Iowa,1644,39,20,59,Poweshiek 
79,Ringgold County,Iowa,319,25,2,27,Ringgold 
80,Sac County,Iowa,403,0,10,10,Sac 
81,Scott County,Iowa,9125,130,151,281,Scott 
82,Shelby County,Iowa,560,43,49,92,Shelby 
83,Sioux County,Iowa,2530,29,1,30,Sioux 
84,Story County,Iowa,9775,90,32,122,Story 
85,Tama County,Iowa,911,39,60,99,Tama 
86,Taylor County,Iowa,288,34,0,34,Taylor 
87,Union County,Iowa,733,10,0,10,Union 
88,Van Buren County,Iowa,301,95,25,120,Van Buren 
89,Wapello County,Iowa,1770,93,35,128,Wapello 
90,Warren County,Iowa,3047,86,86,172,Warren 
91,Washington County,Iowa,1180,40,95,135,Washington 
92,Wayne County,Iowa,312,65,52,117,Wayne 
93,Webster County,Iowa,2392,144,53,197,Webster 
94,Winnebago County,Iowa,733,24,10,34,Winnebago 
95,Winneshiek County,Iowa,1648,0,12,12,Winneshiek 
96,Woodbury County,Iowa,5735,281,277,558,Woodbury 
97,Worth County,Iowa,344,3,1,4,Worth 
98,Wright County,Iowa,476,9,14,23,Wright 
0,Alamance County,North Carolina,10760,380,305,685,Alamance 
1,Alexander County,North Carolina,1724,54,7,61,Alexander 
2,Alleghany County,North Carolina,501,0,18,18,Alleghany 
3,Anson County,North Carolina,1182,52,0,52,Anson 
4,Ashe County,North Carolina,1171,85,37,122,Ashe 
5,Avery County,North Carolina,884,1,5,6,Avery 
6,Beaufort County,North Carolina,1996,158,43,201,Beaufort 
7,Bertie County,North Carolina,790,73,0,73,Bertie 
8,Bladen County,North Carolina,1592,140,77,217,Bladen 
9,Brunswick County,North Carolina,4615,205,103,308,Brunswick 
10,Buncombe County,North Carolina,11313,318,293,611,Buncombe 
11,Burke County,North Carolina,4477,616,98,714,Burke 
12,Cabarrus County,North Carolina,11918,165,527,692,Cabarrus 
13,Caldwell County,North Carolina,3804,124,138,262,Caldwell 
14,Camden County,North Carolina,472,0,0,0,Camden 
15,Carteret County,North Carolina,2917,47,58,105,Carteret 
16,Caswell County,North Carolina,1138,36,34,70,Caswell 
17,Catawba County,North Carolina,8571,256,197,453,Catawba 
18,Chatham County,North Carolina,3136,80,3,83,Chatham 
19,Cherokee County,North Carolina,924,53,44,97,Cherokee 
20,Chowan County,North Carolina,515,3,0,3,Chowan 
21,Clay County,North Carolina,384,31,156,187,Clay 
22,Cleveland County,North Carolina,5382,100,58,158,Cleveland 
23,Columbus County,North Carolina,2739,169,142,311,Columbus 
24,Craven County,North Carolina,4784,166,111,277,Craven 
25,Cumberland County,North Carolina,18621,649,377,1026,Cumberland 
26,Currituck County,North Carolina,1104,6,0,6,Currituck 
27,Dare County,North Carolina,1352,44,18,62,Dare 
28,Davidson County,North Carolina,8238,283,209,492,Davidson 
29,Davie County,North Carolina,2222,135,134,269,Davie 
30,Duplin County,North Carolina,3137,237,118,355,Duplin 
31,Durham County,North Carolina,16493,270,245,515,Durham 
32,Edgecombe County,North Carolina,2623,62,155,217,Edgecombe 
33,Forsyth County,North Carolina,22407,748,273,1021,Forsyth 
34,Franklin County,North Carolina,3283,160,0,160,Franklin 
35,Gaston County,North Carolina,11182,225,370,595,Gaston 
36,Gates County,North Carolina,519,0,0,0,Gates 
37,Graham County,North Carolina,480,21,0,21,Graham 
38,Granville County,North Carolina,3115,302,4,306,Granville 
39,Greene County,North Carolina,1092,73,0,73,Greene 
40,Guilford County,North Carolina,33497,629,482,1111,Guilford 
41,Halifax County,North Carolina,2319,70,69,139,Halifax 
42,Harnett County,North Carolina,7226,173,131,304,Harnett 
43,Haywood County,North Carolina,2523,84,30,114,Haywood 
44,Henderson County,North Carolina,5036,103,77,180,Henderson 
45,Hertford County,North Carolina,1565,29,69,98,Hertford 
46,Hoke County,North Carolina,2705,61,18,79,Hoke 
47,Hyde County,North Carolina,115,0,0,0,Hyde 
48,Iredell County,North Carolina,9154,437,227,664,Iredell 
49,Jackson County,North Carolina,4055,12,61,73,Jackson 
50,Johnston County,North Carolina,10730,263,124,387,Johnston 
51,Jones County,North Carolina,398,0,15,15,Jones 
52,Lee County,North Carolina,3129,66,4,70,Lee 
53,Lenoir County,North Carolina,2580,128,11,139,Lenoir 
54,Lincoln County,North Carolina,4224,146,36,182,Lincoln 
55,McDowell County,North Carolina,2011,11,0,11,McDowell 
56,Macon County,North Carolina,1393,54,16,70,Macon 
57,Madison County,North Carolina,1227,79,62,141,Madison 
58,Martin County,North Carolina,1065,64,42,106,Martin 
59,Mecklenburg County,North Carolina,54521,1931,1284,3215,Mecklenburg 
60,Mitchell County,North Carolina,646,0,20,20,Mitchell 
61,Montgomery County,North Carolina,1359,81,32,113,Montgomery 
62,Moore County,North Carolina,4205,109,50,159,Moore 
63,Nash County,North Carolina,4567,211,94,305,Nash 
64,New Hanover County,North Carolina,13005,469,118,587,New Hanover 
65,Northampton County,North Carolina,707,76,8,84,Northampton 
66,Onslow County,North Carolina,13038,300,250,550,Onslow 
67,Orange County,North Carolina,12336,137,104,241,Orange 
68,Pamlico County,North Carolina,469,33,0,33,Pamlico 
69,Pasquotank County,North Carolina,2127,180,26,206,Pasquotank 
70,Pender County,North Carolina,3312,95,73,168,Pender 
71,Perquimans County,North Carolina,618,5,30,35,Perquimans 
72,Person County,North Carolina,2336,43,45,88,Person 
73,Pitt County,North Carolina,12890,139,134,273,Pitt 
74,Polk County,North Carolina,755,0,8,8,Polk 
75,Randolph County,North Carolina,7527,294,335,629,Randolph 
76,Richmond County,North Carolina,2078,34,106,140,Richmond 
77,Robeson County,North Carolina,8198,277,226,503,Robeson 
78,Rockingham County,North Carolina,4360,146,45,191,Rockingham 
79,Rowan County,North Carolina,7556,305,56,361,Rowan 
80,Rutherford County,North Carolina,3143,92,68,160,Rutherford 
81,Sampson County,North Carolina,3037,222,32,254,Sampson 
82,Scotland County,North Carolina,1682,105,34,139,Scotland 
83,Stanly County,North Carolina,3141,95,303,398,Stanly 
84,Stokes County,North Carolina,2001,175,123,298,Stokes 
85,Surry County,North Carolina,3401,87,156,243,Surry 
86,Swain County,North Carolina,692,30,0,30,Swain 
87,Transylvania County,North Carolina,1326,43,50,93,Transylvania 
88,Tyrrell County,North Carolina,83,0,0,0,Tyrrell 
89,Union County,North Carolina,16090,1006,112,1118,Union 
90,Vance County,North Carolina,2401,57,117,174,Vance 
91,Wake County,North Carolina,60098,1593,747,2340,Wake 
92,Warren County,North Carolina,1354,142,90,232,Warren 
93,Washington County,North Carolina,786,50,40,90,Washington 
94,Watauga County,North Carolina,6907,27,7,34,Watauga 
95,Wayne County,North Carolina,6460,160,73,233,Wayne 
96,Wilkes County,North Carolina,2989,170,91,261,Wilkes 
97,Wilson County,North Carolina,4297,153,403,556,Wilson 
98,Yadkin County,North Carolina,1784,81,68,149,Yadkin 
99,Yancey County,North Carolina,730,44,0,44,Yancey 
0,Addison County,Vermont,2612,24,4,28,Addison 
1,Bennington County,Vermont,1679,59,58,117,Bennington 
2,Caledonia County,Vermont,1644,26,22,48,Caledonia 
3,Chittenden County,Vermont,11863,199,224,423,Chittenden 
4,Essex County,Vermont,214,0,0,0,Essex 
5,Franklin County,Vermont,2555,241,168,409,Franklin 
6,Grand Isle County,Vermont,310,12,0,12,Grand Isle 
7,Lamoille County,Vermont,1317,17,79,96,Lamoille 
8,Orange County,Vermont,1442,53,128,181,Orange 
9,Orleans County,Vermont,1169,14,34,48,Orleans 
10,Rutland County,Vermont,3152,25,31,56,Rutland 
11,Washington County,Vermont,3185,74,109,183,Washington 
12,Windham County,Vermont,1974,99,54,153,Windham 
13,Windsor County,Vermont,2168,16,58,74,Windsor 
0,Ada County,Idaho,24994,499,278,777,Ada 
1,Adams County,Idaho,114,12,10,22,Adams 
2,Bannock County,Idaho,5414,361,74,435,Bannock 
3,Bear Lake County,Idaho,345,12,6,18,Bear Lake 
4,Benewah County,Idaho,507,88,8,96,Benewah 
5,Bingham County,Idaho,2933,162,126,288,Bingham 
6,Blaine County,Idaho,1210,2,4,6,Blaine 
7,Boise County,Idaho,440,11,0,11,Boise 
8,Bonner County,Idaho,1907,133,20,153,Bonner 
9,Bonneville County,Idaho,6759,384,499,883,Bonneville 
10,Boundary County,Idaho,614,11,44,55,Boundary 
11,Butte County,Idaho,84,75,0,75,Butte 
12,Camas County,Idaho,56,0,0,0,Camas 
13,Canyon County,Idaho,13222,451,434,885,Canyon 
14,Caribou County,Idaho,433,0,3,3,Caribou 
15,Cassia County,Idaho,1512,52,16,68,Cassia 
16,Clark County,Idaho,96,0,0,0,Clark 
17,Clearwater County,Idaho,316,3,0,3,Clearwater 
18,Custer County,Idaho,222,0,0,0,Custer 
19,Elmore County,Idaho,1243,110,60,170,Elmore 
20,Franklin County,Idaho,1013,0,0,0,Franklin 
21,Fremont County,Idaho,837,27,5,32,Fremont 
22,Gem County,Idaho,747,0,0,0,Gem 
23,Gooding County,Idaho,826,267,42,309,Gooding 
24,Idaho County,Idaho,674,61,18,79,Idaho 
25,Jefferson County,Idaho,2002,8,0,8,Jefferson 
26,Jerome County,Idaho,1346,2,32,34,Jerome 
27,Kootenai County,Idaho,7292,771,194,965,Kootenai 
28,Latah County,Idaho,3589,0,8,8,Latah 
29,Lemhi County,Idaho,303,26,0,26,Lemhi 
30,Lewis County,Idaho,193,11,36,47,Lewis 
31,Lincoln County,Idaho,268,7,0,7,Lincoln 
32,Madison County,Idaho,4087,0,0,0,Madison 
33,Minidoka County,Idaho,1148,22,0,22,Minidoka 
34,Nez Perce County,Idaho,1823,163,20,183,Nez Perce 
35,Oneida County,Idaho,220,32,1,33,Oneida 
36,Owyhee County,Idaho,851,92,29,121,Owyhee 
37,Payette County,Idaho,1112,48,21,69,Payette 
38,Power County,Idaho,362,0,0,0,Power 
39,Shoshone County,Idaho,626,30,92,122,Shoshone 
40,Teton County,Idaho,634,94,72,166,Teton 
41,Twin Falls County,Idaho,4499,204,244,448,Twin Falls 
42,Valley County,Idaho,347,0,0,0,Valley 
43,Washington County,Idaho,438,38,10,48,Washington 
0,Appling County,Georgia,1047,9,5,14,Appling 
1,Atkinson County,Georgia,679,0,56,56,Atkinson 
2,Bacon County,Georgia,479,79,43,122,Bacon 
3,Baker County,Georgia,106,3,0,3,Baker 
4,Baldwin County,Georgia,4211,149,44,193,Baldwin 
5,Banks County,Georgia,966,22,0,22,Banks 
6,Barrow County,Georgia,4120,260,147,407,Barrow 
7,Bartow County,Georgia,5658,372,202,574,Bartow 
8,Ben Hill County,Georgia,1129,117,0,117,Ben Hill 
9,Berrien County,Georgia,900,77,17,94,Berrien 
10,Bibb County,Georgia,8913,307,309,616,Bibb 
11,Bleckley County,Georgia,1186,0,11,11,Bleckley 
12,Brantley County,Georgia,850,120,166,286,Brantley 
13,Brooks County,Georgia,826,34,0,34,Brooks 
14,Bryan County,Georgia,2281,103,46,149,Bryan 
15,Bulloch County,Georgia,8386,195,35,230,Bulloch 
16,Burke County,Georgia,1267,129,77,206,Burke 
17,Butts County,Georgia,1011,36,124,160,Butts 
18,Calhoun County,Georgia,330,16,4,20,Calhoun 
19,Camden County,Georgia,2875,132,25,157,Camden 
20,Candler County,Georgia,740,32,0,32,Candler 
21,Carroll County,Georgia,8268,114,107,221,Carroll 
22,Catoosa County,Georgia,3323,120,38,158,Catoosa 
23,Charlton County,Georgia,726,0,10,10,Charlton 
24,Chatham County,Georgia,15367,800,252,1052,Chatham 
25,Chattahoochee County,Georgia,1102,0,0,0,Chattahoochee 
26,Chattooga County,Georgia,1200,90,18,108,Chattooga 
27,Cherokee County,Georgia,13309,556,157,713,Cherokee 
28,Clarke County,Georgia,12638,149,32,181,Clarke 
29,Clay County,Georgia,246,0,0,0,Clay 
30,Clayton County,Georgia,16718,916,538,1454,Clayton 
31,Clinch County,Georgia,473,12,16,28,Clinch 
32,Cobb County,Georgia,40167,1445,681,2126,Cobb 
33,Coffee County,Georgia,2485,47,5,52,Coffee 
34,Colquitt County,Georgia,2282,74,25,99,Colquitt 
35,Columbia County,Georgia,7842,135,39,174,Columbia 
36,Cook County,Georgia,1099,10,163,173,Cook 
37,Coweta County,Georgia,7695,590,324,914,Coweta 
38,Crawford County,Georgia,636,7,0,7,Crawford 
39,Crisp County,Georgia,1500,7,32,39,Crisp 
40,Dade County,Georgia,1341,52,17,69,Dade 
41,Dawson County,Georgia,1177,55,0,55,Dawson 
42,Decatur County,Georgia,1295,22,59,81,Decatur 
43,DeKalb County,Georgia,34513,1709,790,2499,DeKalb 
44,Dodge County,Georgia,830,76,33,109,Dodge 
45,Dooly County,Georgia,900,26,57,83,Dooly 
46,Dougherty County,Georgia,5392,260,88,348,Dougherty 
47,Douglas County,Georgia,8742,372,371,743,Douglas 
48,Early County,Georgia,561,4,154,158,Early 
49,Echols County,Georgia,363,24,0,24,Echols 
50,Effingham County,Georgia,3007,22,22,44,Effingham 
51,Elbert County,Georgia,898,0,32,32,Elbert 
52,Emanuel County,Georgia,1176,206,74,280,Emanuel 
53,Evans County,Georgia,423,11,0,11,Evans 
54,Fannin County,Georgia,903,70,104,174,Fannin 
55,Fayette County,Georgia,7046,90,77,167,Fayette 
56,Floyd County,Georgia,5651,202,238,440,Floyd 
57,Forsyth County,Georgia,13332,280,220,500,Forsyth 
58,Franklin County,Georgia,1301,10,8,18,Franklin 
59,Fulton County,Georgia,56909,1477,623,2100,Fulton 
60,Gilmer County,Georgia,1042,10,20,30,Gilmer 
