County-State,Percentage-Private-School,Percentage-Public-School
ERIE-NY,0.21785714285714286,0.7821428571428571
FRANKLIN-GA,0.25,0.75
EARLY-GA,0.25,0.75
CRAIG-OK,0.07142857142857142,0.9285714285714286
LEAVENWORTH-KS,0.10344827586206896,0.896551724137931
MONTGOMERY-AL,0.25316455696202533,0.7468354430379747
WRIGHT-MN,0.0975609756097561,0.9024390243902439
FALL RIVER-SD,0.1111111111111111,0.8888888888888888
BROWN-SD,0.2903225806451613,0.7096774193548387
RANDOLPH-IL,0.391304347826087,0.6086956521739131
HANCOCK-IL,0.0625,0.9375
OVERTON-TN,0.125,0.875
MARION-OR,0.14925373134328357,0.8507462686567164
JEFFERSON-FL,0.09090909090909091,0.9090909090909091
STORY-IA,0.037037037037037035,0.9629629629629629
GRAND TRAVERSE-MI,0.23809523809523808,0.7619047619047619
HOT SPRING-AR,0.0625,0.9375
RENSSELAER-NY,0.21153846153846154,0.7884615384615384
GUERNSEY-OH,0.15789473684210525,0.8421052631578947
GLENN-CA,0.07142857142857142,0.9285714285714286
DANE-WI,0.18357487922705315,0.8164251207729468
ALLEN-IN,0.37410071942446044,0.6258992805755396
NANTUCKET-MA,0.42857142857142855,0.5714285714285714
NELSON-KY,0.28,0.72
MINGO-WV,0.15384615384615385,0.8461538461538461
COWETA-GA,0.14285714285714285,0.8571428571428571
AUGLAIZE-OH,0.05263157894736842,0.9473684210526315
VENTURA-CA,0.18900343642611683,0.8109965635738832
WASHINGTON-TN,0.1,0.9
ANDREW-MO,0.08333333333333333,0.9166666666666666
JEFFERSON-MO,0.0958904109589041,0.9041095890410958
WASHINGTON-IN,0.3333333333333333,0.6666666666666666
FREMONT-WY,0.07894736842105263,0.9210526315789473
WARREN-KY,0.11538461538461539,0.8846153846153846
TETON-MT,0.05555555555555555,0.9444444444444444
LEWIS AND CLARK-MT,0.18181818181818182,0.8181818181818182
PARK-MT,0.1111111111111111,0.8888888888888888
PUTNAM-GA,0.2,0.8
LIBERTY-GA,0.14285714285714285,0.8571428571428571
STARK-OH,0.2116788321167883,0.7883211678832117
ROSS-OH,0.0967741935483871,0.9032258064516129
CREEK-OK,0.05,0.95
LINCOLN-TN,0.08333333333333333,0.9166666666666666
OCONTO-WI,0.125,0.875
BARRON-WI,0.17777777777777778,0.8222222222222222
MENOMINEE-MI,0.1,0.9
WINONA-MN,0.2962962962962963,0.7037037037037037
JEFFERSON-AR,0.03571428571428571,0.9642857142857143
STARKE-IN,0.125,0.875
ELK-PA,0.3333333333333333,0.6666666666666666
DAWSON-GA,0.2222222222222222,0.7777777777777778
WHITFIELD-GA,0.08571428571428572,0.9142857142857143
HARRIS-GA,0.125,0.875
MISSISSIPPI-MO,0.1111111111111111,0.8888888888888888
LAS ANIMAS-CO,0.1875,0.8125
WEBSTER-IA,0.21428571428571427,0.7857142857142857
WILLIAMS-ND,0.04,0.96
POPE-AR,0.08333333333333333,0.9166666666666666
EDGAR-IL,0.05263157894736842,0.9473684210526315
LAKE-MT,0.2222222222222222,0.7777777777777778
UPSON-GA,0.3333333333333333,0.6666666666666666
DEKALB-GA,0.3059360730593607,0.6940639269406392
WILSON-TN,0.20588235294117646,0.7941176470588235
CABELL-WV,0.14705882352941177,0.8529411764705882
PAULDING-GA,0.029411764705882353,0.9705882352941176
DADE-MO,0.09090909090909091,0.9090909090909091
TEXAS-MO,0.15789473684210525,0.8421052631578947
MERRIMACK-NH,0.2077922077922078,0.7922077922077922
FRANKLIN-FL,0.16666666666666666,0.8333333333333334
THOMAS-KS,0.2222222222222222,0.7777777777777778
OSCEOLA-MI,0.1111111111111111,0.8888888888888888
STEELE-MN,0.13636363636363635,0.8636363636363636
TETON-WY,0.26666666666666666,0.7333333333333333
FORSYTH-GA,0.3148148148148148,0.6851851851851852
PLACER-CA,0.15328467153284672,0.8467153284671532
MARLBORO-SC,0.2727272727272727,0.7272727272727273
OZAUKEE-WI,0.28205128205128205,0.717948717948718
DAKOTA-NE,0.08333333333333333,0.9166666666666666
SEWARD-NE,0.36363636363636365,0.6363636363636364
MCDONOUGH-IL,0.0625,0.9375
KNOX-IL,0.043478260869565216,0.9565217391304348
MORGAN-TN,0.2,0.8
MARION-TN,0.07692307692307693,0.9230769230769231
MARION-MO,0.11764705882352941,0.8823529411764706
SALEM-NJ,0.05714285714285714,0.9428571428571428
ARKANSAS-AR,0.18181818181818182,0.8181818181818182
JOHNSON-IN,0.15555555555555556,0.8444444444444444
COWLITZ-WA,0.1,0.9
FULTON-PA,0.2,0.8
JERSEY-IL,0.1111111111111111,0.8888888888888888
BOONE-IL,0.09523809523809523,0.9047619047619048
ESSEX-NY,0.2916666666666667,0.7083333333333334
FAIRFIELD-CT,0.2,0.8
MADERA-CA,0.05952380952380952,0.9404761904761905
NEVADA-CA,0.11666666666666667,0.8833333333333333
MODOC-CA,0.15384615384615385,0.8461538461538461
JONES-MS,0.047619047619047616,0.9523809523809523
FRANKLIN-MO,0.19230769230769232,0.8076923076923077
DESCHUTES-OR,0.3,0.7
MCKENZIE-ND,0.1,0.9
SNYDER-PA,0.7037037037037037,0.2962962962962963
VALLEY-MT,0.058823529411764705,0.9411764705882353
FULTON-OH,0.125,0.875
RALLS-MO,0.25,0.75
SAGUACHE-CO,0.1111111111111111,0.8888888888888888
GEORGETOWN-SC,0.17391304347826086,0.8260869565217391
BUCHANAN-IA,0.14285714285714285,0.8571428571428571
HURON-MI,0.21212121212121213,0.7878787878787878
CAVALIER-ND,0.2,0.8
BURLEIGH-ND,0.2,0.8
FAIRFIELD-OH,0.11538461538461539,0.8846153846153846
GASCONADE-MO,0.2222222222222222,0.7777777777777778
FORD-KS,0.058823529411764705,0.9411764705882353
DODGE-NE,0.16,0.84
SANDERS-MT,0.058823529411764705,0.9411764705882353
WEBER-UT,0.1276595744680851,0.8723404255319149
LIVINGSTON-MO,0.08333333333333333,0.9166666666666666
SCOTT-MO,0.23333333333333334,0.7666666666666667
BERGEN-NJ,0.2584856396866841,0.741514360313316
MARSHALL-AL,0.027777777777777776,0.9722222222222222
YELLOW MEDICINE-MN,0.125,0.875
YAKIMA-WA,0.12403100775193798,0.875968992248062
WOODFORD-KY,0.2222222222222222,0.7777777777777778
ALLEN-KY,0.4444444444444444,0.5555555555555556
WAUSHARA-WI,0.2,0.8
LAUDERDALE-AL,0.17391304347826086,0.8260869565217391
WASECA-MN,0.14285714285714285,0.8571428571428571
BROOKINGS-SD,0.05263157894736842,0.9473684210526315
BOONE-NE,0.1111111111111111,0.8888888888888888
JOHNSON-KY,0.125,0.875
BROOKS-GA,0.14285714285714285,0.8571428571428571
MCMINN-TN,0.0625,0.9375
PETTIS-MO,0.16666666666666666,0.8333333333333334
WOODBURY-IA,0.1956521739130435,0.8043478260869565
LAWRENCE-SD,0.11764705882352941,0.8823529411764706
ADAMS-PA,0.25,0.75
POLK-TN,0.14285714285714285,0.8571428571428571
CHESTERFIELD-SC,0.2727272727272727,0.7272727272727273
CLARENDON-SC,0.125,0.875
DALLAS-AL,0.1111111111111111,0.8888888888888888
PULASKI-AR,0.1962025316455696,0.8037974683544303
WHITE-IN,0.07692307692307693,0.9230769230769231
HAMILTON-NE,0.18181818181818182,0.8181818181818182
FAYETTE-KY,0.23,0.77
HOPKINS-KY,0.08333333333333333,0.9166666666666666
LIVINGSTON-IL,0.20689655172413793,0.7931034482758621
MONTGOMERY-OH,0.17857142857142858,0.8214285714285714
AMITE-MS,0.25,0.75
MACON-TN,0.1111111111111111,0.8888888888888888
HARVEY-KS,0.15,0.85
COFFEE-AL,0.1111111111111111,0.8888888888888888
CONECUH-AL,0.1111111111111111,0.8888888888888888
CARROLL-IN,0.14285714285714285,0.8571428571428571
NORTHUMBERLAND-PA,0.25,0.75
SUTTER-CA,0.061224489795918366,0.9387755102040817
BOULDER-CO,0.2072072072072072,0.7927927927927928
KERSHAW-SC,0.2,0.8
DALLAS-IA,0.05405405405405406,0.9459459459459459
SCHOOLCRAFT-MI,0.3333333333333333,0.6666666666666666
UNION-NJ,0.23931623931623933,0.7606837606837606
CASS-NE,0.0625,0.9375
PERRY-OH,0.0625,0.9375
BAKER-OR,0.07692307692307693,0.9230769230769231
WAPELLO-IA,0.11764705882352941,0.8823529411764706
LAWRENCE-AL,0.0625,0.9375
FARIBAULT-MN,0.14285714285714285,0.8571428571428571
OLMSTED-MN,0.16455696202531644,0.8354430379746836
CARROLL-AR,0.16666666666666666,0.8333333333333334
STEPHENSON-IL,0.17857142857142858,0.8214285714285714
COLQUITT-GA,0.17647058823529413,0.8235294117647058
ADAMS-WI,0.16666666666666666,0.8333333333333334
WASHBURN-WI,0.05555555555555555,0.9444444444444444
HIGHLANDS-FL,0.2727272727272727,0.7272727272727273
ESSEX-NJ,0.2070063694267516,0.7929936305732485
MORRIS-NJ,0.2403846153846154,0.7596153846153846
GRANT-MN,0.125,0.875
MCCRACKEN-KY,0.043478260869565216,0.9565217391304348
CHESTER-PA,0.4675925925925926,0.5324074074074074
PERRY-PA,0.5161290322580645,0.4838709677419355
SHELBY-IL,0.17647058823529413,0.8235294117647058
WASATCH-UT,0.08333333333333333,0.9166666666666666
QUITMAN-MS,0.2,0.8
LOGAN-KS,0.16666666666666666,0.8333333333333334
GRUNDY-IA,0.08333333333333333,0.9166666666666666
ISLAND-WA,0.16666666666666666,0.8333333333333334
CAMPBELL-KY,0.325,0.675
CLARION-PA,0.41379310344827586,0.5862068965517241
CUMBERLAND-PA,0.3958333333333333,0.6041666666666666
BEDFORD-PA,0.36666666666666664,0.6333333333333333
MONROE-OH,0.1111111111111111,0.8888888888888888
STANISLAUS-CA,0.08173076923076923,0.9182692307692307
WEAKLEY-TN,0.16666666666666666,0.8333333333333334
HOOD RIVER-OR,0.2727272727272727,0.7272727272727273
PASCO-FL,0.21428571428571427,0.7857142857142857
LAKE-FL,0.33695652173913043,0.6630434782608695
HAMILTON-FL,0.25,0.75
OTERO-NM,0.10714285714285714,0.8928571428571429
SHAWNEE-KS,0.16176470588235295,0.8382352941176471
RICE-MN,0.18421052631578946,0.8157894736842105
MITCHELL-GA,0.2,0.8
MAYES-OK,0.043478260869565216,0.9565217391304348
KENT-MI,0.13448275862068965,0.8655172413793103
MADISON-ID,0.0625,0.9375
CAMBRIA-PA,0.23529411764705882,0.7647058823529411
