County-State,Drop_Out_Rate_By_County,Graduation-Rate,Percentage of Teens Who Work Part or Full time,SVI,Percentage-Private-School,Percentage-Public-School
GREENE-IL,0.04264705882352941,84.77,0.6308823529411764,0.1952,0.125,0.875
GRUNDY-IL,0.0712966383450314,90.43,0.5829331363132619,0.0844,0.038461538461538464,0.9615384615384616
HANCOCK-IL,0.11166875784190715,71.63,0.42659974905897113,0.1232,0.0625,0.9375
HENRY-IL,0.021617293835068056,89.07,0.55484387510008,0.201,0.034482758620689655,0.9655172413793104
IROQUOIS-IL,0.007358351729212656,87.43,0.601177336276674,0.3404,0.07692307692307693,0.9230769230769231
JACKSON-IL,0.04849681808207154,85.02,0.3249945139346061,0.7045,0.17857142857142858,0.8214285714285714
JASPER-IL,0.0027624309392265192,92.5,0.8895027624309392,0.2417,0.125,0.875
JEFFERSON-IL,0.1330998248686515,82.95,0.6187974314068885,0.8108,0.038461538461538464,0.9615384615384616
JERSEY-IL,0.07239819004524888,86.0,0.5007541478129713,0.1041,0.1111111111111111,0.8888888888888888
JO DAVIESS-IL,0.0,89.09,0.6366822429906542,0.0525,0.09523809523809523,0.9047619047619048
JOHNSON-IL,0.04725897920604915,93.35,0.3629489603024575,0.4624,0.125,0.875
KANE-IL,0.0448282553852125,85.05,0.5774953101753024,0.4169,0.20207253886010362,0.7979274611398963
KANKAKEE-IL,0.06857891671520093,85.27,0.5200931857891672,0.6656,0.13043478260869565,0.8695652173913043
KENDALL-IL,0.048535564853556486,93.12,0.5779637377963738,0.1398,0.10909090909090909,0.8909090909090909
KNOX-IL,0.05186267348429511,86.88,0.514609203798393,0.6462,0.043478260869565216,0.9565217391304348
LAKE-IL,0.04361601258065262,89.68,0.5542656275294281,0.3513,0.21755725190839695,0.7824427480916031
LASALLE-IL,0.07735742518351214,82.96,0.6288349331827593,0.4303,0.13559322033898305,0.864406779661017
LEE-IL,0.050642479213907785,85.5,0.6470143613000756,0.301,0.058823529411764705,0.9411764705882353
LIVINGSTON-IL,0.026358257127487898,87.86,0.5228617536309844,0.4841,0.20689655172413793,0.7931034482758621
LOGAN-IL,0.0749063670411985,80.83,0.5580524344569289,0.2271,0.06666666666666667,0.9333333333333333
MCDONOUGH-IL,0.0612736660929432,86.73,0.6354561101549053,0.5166,0.0625,0.9375
MCHENRY-IL,0.036505404926457555,91.47,0.572154291452537,0.0701,0.15841584158415842,0.8415841584158416
MCLEAN-IL,0.03552866340857963,88.12,0.6001086029012489,0.1904,0.17142857142857143,0.8285714285714286
MACON-IL,0.11524235935370838,79.06,0.5318279151255597,0.5971,0.09803921568627451,0.9019607843137255
MACOUPIN-IL,0.030276046304541407,88.04,0.5369545859305432,0.1987,0.03333333333333333,0.9666666666666667
MADISON-IL,0.05041087231352718,84.97,0.5276548672566371,0.2965,0.25961538461538464,0.7403846153846154
MARION-IL,0.06423718344657196,81.65,0.5744286596664607,0.7385,0.0967741935483871,0.9032258064516129
MONROE-IL,0.01077996195307546,92.99,0.6074825618262524,0.0016,0.16666666666666666,0.8333333333333334
MONTGOMERY-IL,0.09690893901420217,85.44,0.4193817878028404,0.3914,0.10526315789473684,0.8947368421052632
MORGAN-IL,0.025278058645096056,79.24,0.5540950455005056,0.5045,0.1,0.9
MOULTRIE-IL,0.38161209068010077,93.28,0.690176322418136,0.2949,0.125,0.875
OGLE-IL,0.031424025457438345,89.88,0.5159108989657916,0.2917,0.06896551724137931,0.9310344827586207
PEORIA-IL,0.04339766655762731,77.46,0.4778104895867408,0.6131,0.2376237623762376,0.7623762376237624
PERRY-IL,0.10785340314136126,90.23,0.53717277486911,0.6487,0.14285714285714285,0.8571428571428571
PIATT-IL,0.10379746835443038,91.72,0.5924050632911393,0.0032,0.11764705882352941,0.8823529411764706
PIKE-IL,0.020030816640986132,77.3,0.5362095531587057,0.3494,0.07692307692307693,0.9230769230769231
RANDOLPH-IL,0.04579630895420369,88.8,0.5680109364319891,0.4567,0.391304347826087,0.6086956521739131
RICHLAND-IL,0.0458970792767733,92.5,0.6105702364394993,0.4105,0.5,0.5
ROCK ISLAND-IL,0.05409395973154362,88.43,0.654496644295302,0.7137,0.14285714285714285,0.8571428571428571
ST. CLAIR-IL,0.07609549238259777,85.04,0.5556777132087325,0.5229,0.168141592920354,0.831858407079646
SANGAMON-IL,0.04884453781512605,84.92,0.4366596638655462,0.4357,0.18681318681318682,0.8131868131868132
