Graduation-Rate,Drop_Out_Rate_By_County,SVI,Percentage of Teens Who Work Part or Full time,Percentage-Private-School,Percentage-Public-School
77.0,0.09425939050318922,0.892,0.3281360737065911,0.047619047619047616,0.9523809523809523
77.0,0.13630653266331658,0.9446,0.3417085427135678,0.041666666666666664,0.9583333333333334
77.26,0.06091370558375635,0.5035,0.5242929659173314,0.14285714285714285,0.8571428571428571
77.5,0.07685738684884715,0.9264,0.3125533731853117,0.1875,0.8125
77.5,0.08957528957528957,0.9494,0.1444015444015444,0.11764705882352941,0.8823529411764706
78.0,0.05275136596854902,0.8175,0.2476824133036217,0.41952789699570814,0.5804721030042919
78.0,0.07246980424822991,0.9787,0.37317784256559766,0.03508771929824561,0.9649122807017544
78.13,0.06937394247038917,0.678,0.667794698251551,0.13333333333333333,0.8666666666666667
78.33,0.00963159162051529,0.9366,0.4950638092944859,0.16,0.84
78.44,0.06551410373066424,0.0968,0.7616014558689718,0.058823529411764705,0.9411764705882353
78.65,0.042581640524556444,0.1895,0.4767806634096169,0.19148936170212766,0.8085106382978723
78.66,0.02913290811928978,0.2898,0.37252197896914324,0.15384615384615385,0.8461538461538461
78.88,0.02260934025203855,0.5468,0.5385470719051149,0.18181818181818182,0.8181818181818182
78.91,0.05639476334340383,0.9229,0.34159113796576035,0.13157894736842105,0.868421052631579
78.97,0.05126498002663116,0.1194,0.6809016549362754,0.12149532710280374,0.8785046728971962
79.0,0.02497276095009806,0.4764,0.2901721507953803,0.3017241379310345,0.6982758620689655
79.0,0.09292274446245273,0.5975,0.644786601836845,0.05263157894736842,0.9473684210526315
79.07,0.06520905255082471,0.2099,0.7479861910241657,0.15,0.85
79.09,0.0586047229510727,0.5592,0.38649482944898905,0.2572944297082228,0.7427055702917772
79.09,0.09405684754521963,0.9411,0.27648578811369506,0.125,0.875
79.15,0.054944638252692246,0.8232,0.3962915213104808,0.17258883248730963,0.8274111675126904
79.21,0.06601886253215204,0.2914,0.6164618462417834,0.0967741935483871,0.9032258064516129
79.27,0.04350860865518846,0.1803,0.6861330851558864,0.23809523809523808,0.7619047619047619
79.44,0.11324786324786325,0.7914,0.5470085470085471,0.06666666666666667,0.9333333333333333
79.77,0.06639676113360324,0.935,0.18866396761133603,0.16666666666666666,0.8333333333333334
79.85,0.08609191221050079,0.279,0.5016369588941433,0.13846153846153847,0.8615384615384616
79.89,0.22713864306784662,0.251,0.6674041297935103,0.04,0.96
79.9,0.07545638945233266,0.3959,0.527789046653144,0.11764705882352941,0.8823529411764706
79.94,0.08424041646947468,0.4838,0.5660198769522007,0.058823529411764705,0.9411764705882353
80.0,0.06101511879049676,0.8,0.2786177105831533,0.25,0.75
80.09,0.04276186739897999,0.4818,0.43598796913822413,0.11764705882352941,0.8823529411764706
80.15,0.05256804214223003,0.5099,0.5662862159789289,0.16176470588235295,0.8382352941176471
80.28,0.05224252491694352,0.9895,0.3259136212624585,0.056818181818181816,0.9431818181818182
80.4,0.04265159301130524,0.3382,0.6104830421377184,0.15,0.85
80.65,0.05030181086519115,0.9803,0.36217303822937624,0.125,0.875
80.72,0.02350920826671404,0.3436,0.581986143187067,0.12345679012345678,0.8765432098765432
80.84,0.051970876223951794,0.3127,0.43359276926939494,0.14634146341463414,0.8536585365853658
80.98,0.0760806916426513,0.2691,0.5717579250720461,0.10526315789473684,0.8947368421052632
81.0,0.06685210051793593,0.8178,0.3383848072127374,0.22522522522522523,0.7747747747747747
81.0,0.06737247353224254,0.9796,0.3897978825794033,0.061224489795918366,0.9387755102040817
81.0,0.1571072319201995,0.3261,0.6317539484621779,0.11764705882352941,0.8823529411764706
81.07,0.024361948955916472,0.1933,0.7830626450116009,0.2777777777777778,0.7222222222222222
81.25,0.07214765100671142,0.1022,0.7416107382550335,0.13043478260869565,0.8695652173913043
