SVI,Drop_Out_Rate_By_County,Graduation-Rate,Percentage of Teens Who Work Part or Full time,Percentage-Private-School,Percentage-Public-School
0.1688,0.02,87.11,0.7178911564625851,0.18357487922705315,0.8164251207729468
0.1694,0.04287540564460616,90.29,0.5889467990952896,0.18571428571428572,0.8142857142857143
0.1774,0.0,82.5,0.625531914893617,0.16666666666666666,0.8333333333333334
0.1777,0.10816876122082585,74.88,0.598294434470377,0.125,0.875
0.178,0.014752675730402082,89.79,0.6861440555394851,0.22641509433962265,0.7735849056603774
0.1787,0.03469501958589815,91.29,0.5551203133743704,0.17391304347826086,0.8260869565217391
0.1815,0.07142857142857142,95.3,0.6928999144568007,0.24324324324324326,0.7567567567567568
0.1844,0.03894674067617781,86.0,0.34735538327446214,0.38095238095238093,0.6190476190476191
0.1847,0.018207282913165267,92.63,0.7988795518207283,0.19047619047619047,0.8095238095238095
0.1854,0.04142011834319527,94.55,0.7165310650887574,0.41509433962264153,0.5849056603773585
0.186,0.12538540596094552,90.54,0.6012332990750257,0.12,0.88
0.1863,0.030996928232337337,93.16,0.5702317788327282,0.0958904109589041,0.9041095890410958
0.1869,0.04010238907849829,92.99,0.7184300341296929,0.13333333333333333,0.8666666666666667
0.1904,0.03552866340857963,88.12,0.6001086029012489,0.17142857142857143,0.8285714285714286
0.1962,0.0,92.03,0.6764705882352942,0.1111111111111111,0.8888888888888888
0.1987,0.030276046304541407,88.04,0.5369545859305432,0.03333333333333333,0.9666666666666667
0.1997,0.01606203267792855,93.0,0.5735253392412074,0.05,0.95
0.2,0.08736942070275404,92.56,0.6733143399810066,0.2857142857142857,0.7142857142857143
0.2016,0.052615395127951076,94.8,0.4918172810823738,0.04220183486238532,0.9577981651376147
0.2057,0.05244492208490059,92.0,0.5949489521762493,0.15517241379310345,0.8448275862068966
0.2099,0.06520905255082471,79.07,0.7479861910241657,0.15,0.85
0.2118,0.04449778434268833,91.69,0.7036558345642541,0.25,0.75
0.214,0.006868131868131868,90.85,0.5975274725274725,0.2222222222222222,0.7777777777777778
0.2166,0.007424593967517401,94.98,0.5661252900232019,0.06666666666666667,0.9333333333333333
0.2201,0.013245033112582781,86.07,0.5794701986754967,0.2,0.8
0.221,0.03259433866411981,94.0,0.5175265692629697,0.039735099337748346,0.9602649006622517
0.2236,0.015735969920623868,86.57,0.663695864085782,0.18115942028985507,0.8188405797101449
0.2264,0.02368568934801583,90.87,0.559106615493143,0.2553606237816764,0.7446393762183235
0.2303,0.0312522765352954,90.24,0.5701537116631457,0.1524390243902439,0.8475609756097561
0.2312,0.006355932203389831,87.5,0.6122881355932204,0.3333333333333333,0.6666666666666666
0.2338,0.01564129301355579,92.03,0.8540145985401459,0.13333333333333333,0.8666666666666667
0.2354,0.017406962785114045,94.57,0.5067226890756302,0.11538461538461539,0.8846153846153846
0.2382,0.07710118082889558,85.83,0.5116925214169947,0.08823529411764706,0.9117647058823529
0.2395,0.015841326331322424,94.52,0.3781085890369342,0.2584856396866841,0.741514360313316
0.2414,0.1175030599755202,76.92,0.5104039167686658,0.21052631578947367,0.7894736842105263
0.2439,0.08354646206308611,85.87,0.5924978687127025,0.07692307692307693,0.9230769230769231
0.2455,0.03639120545868082,88.17,0.6854519417066801,0.07142857142857142,0.9285714285714286
0.2459,0.056505360764995655,91.0,0.5062300782381919,0.12,0.88
0.2481,0.026346265199768383,74.26,0.5264910248986682,0.14754098360655737,0.8524590163934426
0.2538,0.05047619047619047,79.0,0.5208163265306123,0.3404255319148936,0.6595744680851063
0.2567,0.21239954075774972,97.5,0.21928817451205512,0.3,0.7
0.2599,0.053609417103956884,81.75,0.6438803006665721,0.16455696202531644,0.8354430379746836
0.2611,0.03137803537523733,89.26,0.5341261117217947,0.27992633517495397,0.7200736648250461
0.2621,0.038612123666801675,89.73,0.5604158228702578,0.08163265306122448,0.9183673469387755
0.2624,0.05695564516129032,88.25,0.6043346774193549,0.044444444444444446,0.9555555555555556
0.2637,0.023972602739726026,96.0,0.3812785388127854,0.1111111111111111,0.8888888888888888
0.2646,0.03984408834993504,89.32,0.46730186227804243,0.1,0.9
0.2669,0.052929021335922526,80.68,0.4335648666816043,0.29775280898876405,0.702247191011236
0.2672,0.029197080291970802,88.07,0.6380778588807786,0.43478260869565216,0.5652173913043478
0.2682,0.04370515329419439,88.15,0.695368558382257,0.07692307692307693,0.9230769230769231
0.2691,0.0760806916426513,80.98,0.5717579250720461,0.10526315789473684,0.8947368421052632
0.2707,0.045078577336641855,89.67,0.3727598566308244,0.11764705882352941,0.8823529411764706
0.2774,0.038936403873673,86.25,0.3928084129255549,0.07310344827586207,0.926896551724138
0.2783,0.08670520231213873,98.3,0.6127167630057804,0.05263157894736842,0.9473684210526315
0.2793,0.09132947976878612,86.41,0.36820809248554914,0.09090909090909091,0.9090909090909091
0.2803,0.07253886010362694,93.0,0.761139896373057,0.06666666666666667,0.9333333333333333
0.2812,0.09169675090252707,93.73,0.6339350180505415,0.25806451612903225,0.7419354838709677
0.2869,0.14613778705636743,92.57,0.6649269311064718,0.375,0.625
0.2895,0.009751340809361287,91.97,0.6635787420770356,0.28,0.72
0.2901,0.0896,92.5,0.7184,0.13333333333333333,0.8666666666666667
0.2911,0.027070063694267517,88.02,0.4450636942675159,0.2222222222222222,0.7777777777777778
0.293,0.061094452773613195,82.73,0.405359820089955,0.2962962962962963,0.7037037037037037
0.2949,0.38161209068010077,93.28,0.690176322418136,0.125,0.875
