,NAME,State,B23027_002E,B23027_003E,County
6,Blue Earth County,Minnesota,5261,4195,Blue Earth 
7,Brown County,Minnesota,1461,1111,Brown 
8,Carlton County,Minnesota,1672,953,Carlton 
9,Carver County,Minnesota,6085,3733,Carver 
10,Cass County,Minnesota,1219,822,Cass 
11,Chippewa County,Minnesota,544,310,Chippewa 
12,Chisago County,Minnesota,2887,1782,Chisago 
13,Clay County,Minnesota,4597,3315,Clay 
14,Clearwater County,Minnesota,439,256,Clearwater 
15,Cook County,Minnesota,156,104,Cook 
16,Cottonwood County,Minnesota,544,402,Cottonwood 
17,Crow Wing County,Minnesota,2906,2048,Crow Wing 
18,Dakota County,Minnesota,20625,14141,Dakota 
19,Dodge County,Minnesota,1130,738,Dodge 
20,Douglas County,Minnesota,1432,1072,Douglas 
21,Faribault County,Minnesota,569,413,Faribault 
22,Fillmore County,Minnesota,961,660,Fillmore 
23,Freeborn County,Minnesota,1283,784,Freeborn 
24,Goodhue County,Minnesota,2241,1553,Goodhue 
25,Grant County,Minnesota,206,136,Grant 
26,Hennepin County,Minnesota,57118,36494,Hennepin 
27,Houston County,Minnesota,747,530,Houston 
28,Hubbard County,Minnesota,877,677,Hubbard 
29,Isanti County,Minnesota,1788,1326,Isanti 
30,Itasca County,Minnesota,2283,1523,Itasca 
31,Jackson County,Minnesota,409,320,Jackson 
32,Kanabec County,Minnesota,780,507,Kanabec 
33,Kandiyohi County,Minnesota,1905,1442,Kandiyohi 
34,Kittson County,Minnesota,172,113,Kittson 
35,Koochiching County,Minnesota,611,409,Koochiching 
36,Lac qui Parle County,Minnesota,313,176,Lac qui Parle 
37,Lake County,Minnesota,344,292,Lake 
38,Lake of the Woods County,Minnesota,150,143,Lake of the Woods 
39,Le Sueur County,Minnesota,1363,868,Le Sueur 
40,Lincoln County,Minnesota,244,176,Lincoln 
41,Lyon County,Minnesota,1646,1047,Lyon 
42,McLeod County,Minnesota,1738,1191,McLeod 
43,Mahnomen County,Minnesota,298,140,Mahnomen 
44,Marshall County,Minnesota,432,239,Marshall 
45,Martin County,Minnesota,862,675,Martin 
46,Meeker County,Minnesota,1172,842,Meeker 
47,Mille Lacs County,Minnesota,1265,851,Mille Lacs 
48,Morrison County,Minnesota,1533,1066,Morrison 
49,Mower County,Minnesota,1962,1151,Mower 
50,Murray County,Minnesota,352,254,Murray 
51,Nicollet County,Minnesota,2187,1900,Nicollet 
52,Nobles County,Minnesota,1079,718,Nobles 
53,Norman County,Minnesota,318,215,Norman 
54,Olmsted County,Minnesota,7051,4540,Olmsted 
55,Otter Tail County,Minnesota,2607,1950,Otter Tail 
56,Pennington County,Minnesota,666,459,Pennington 
57,Pine County,Minnesota,1364,820,Pine 
58,Pipestone County,Minnesota,412,288,Pipestone 
59,Polk County,Minnesota,1590,1209,Polk 
60,Pope County,Minnesota,421,333,Pope 
61,Ramsey County,Minnesota,28293,17862,Ramsey 
62,Red Lake County,Minnesota,174,109,Red Lake 
63,Redwood County,Minnesota,780,471,Redwood 
64,Renville County,Minnesota,630,389,Renville 
65,Rice County,Minnesota,4704,3468,Rice 
66,Rock County,Minnesota,509,365,Rock 
67,Roseau County,Minnesota,723,537,Roseau 
68,St. Louis County,Minnesota,11911,8541,St. Louis 
69,Scott County,Minnesota,8031,5468,Scott 
70,Sherburne County,Minnesota,5487,3691,Sherburne 
71,Sibley County,Minnesota,685,447,Sibley 
72,Stearns County,Minnesota,10892,8348,Stearns 
73,Steele County,Minnesota,1782,1182,Steele 
74,Stevens County,Minnesota,865,671,Stevens 
75,Swift County,Minnesota,428,255,Swift 
76,Todd County,Minnesota,1057,618,Todd 
77,Traverse County,Minnesota,104,44,Traverse 
78,Wabasha County,Minnesota,967,710,Wabasha 
79,Wadena County,Minnesota,651,428,Wadena 
80,Waseca County,Minnesota,967,673,Waseca 
81,Washington County,Minnesota,13094,8377,Washington 
82,Watonwan County,Minnesota,674,363,Watonwan 
83,Wilkin County,Minnesota,253,177,Wilkin 
84,Winona County,Minnesota,4117,3424,Winona 
85,Wright County,Minnesota,7757,5134,Wright 
86,Yellow Medicine County,Minnesota,439,297,Yellow Medicine 
0,Adams County,Mississippi,1617,489,Adams 
1,Alcorn County,Mississippi,1950,755,Alcorn 
2,Amite County,Mississippi,459,45,Amite 
3,Attala County,Mississippi,1084,322,Attala 
4,Benton County,Mississippi,558,121,Benton 
5,Bolivar County,Mississippi,1936,469,Bolivar 
6,Calhoun County,Mississippi,638,181,Calhoun 
7,Carroll County,Mississippi,561,80,Carroll 
8,Chickasaw County,Mississippi,975,368,Chickasaw 
9,Choctaw County,Mississippi,483,94,Choctaw 
10,Claiborne County,Mississippi,1037,351,Claiborne 
11,Clarke County,Mississippi,895,263,Clarke 
12,Clay County,Mississippi,1170,290,Clay 
13,Coahoma County,Mississippi,1491,223,Coahoma 
14,Copiah County,Mississippi,1935,535,Copiah 
15,Covington County,Mississippi,987,491,Covington 
16,DeSoto County,Mississippi,10680,4674,DeSoto 
17,Forrest County,Mississippi,4153,2056,Forrest 
18,Franklin County,Mississippi,264,74,Franklin 
19,George County,Mississippi,1247,407,George 
20,Greene County,Mississippi,651,129,Greene 
21,Grenada County,Mississippi,1053,182,Grenada 
22,Hancock County,Mississippi,2061,892,Hancock 
23,Harrison County,Mississippi,10740,4744,Harrison 
24,Hinds County,Mississippi,14233,3545,Hinds 
25,Holmes County,Mississippi,1205,247,Holmes 
26,Humphreys County,Mississippi,418,87,Humphreys 
27,Issaquena County,Mississippi,8,0,Issaquena 
28,Itawamba County,Mississippi,1570,468,Itawamba 
29,Jackson County,Mississippi,7721,2683,Jackson 
30,Jasper County,Mississippi,808,88,Jasper 
31,Jefferson County,Mississippi,397,40,Jefferson 
32,Jefferson Davis County,Mississippi,511,112,Jefferson Davis 
33,Jones County,Mississippi,4233,1389,Jones 
34,Kemper County,Mississippi,668,163,Kemper 
35,Lafayette County,Mississippi,5473,3336,Lafayette 
36,Lamar County,Mississippi,3215,840,Lamar 
37,Lauderdale County,Mississippi,3689,1325,Lauderdale 
38,Lawrence County,Mississippi,719,248,Lawrence 
39,Leake County,Mississippi,1373,264,Leake 
40,Lee County,Mississippi,4540,1997,Lee 
41,Leflore County,Mississippi,1913,307,Leflore 
42,Lincoln County,Mississippi,2111,353,Lincoln 
43,Lowndes County,Mississippi,3041,708,Lowndes 
44,Madison County,Mississippi,5801,2161,Madison 
45,Marion County,Mississippi,1235,233,Marion 
46,Marshall County,Mississippi,1913,661,Marshall 
47,Monroe County,Mississippi,1327,350,Monroe 
48,Montgomery County,Mississippi,404,37,Montgomery 
49,Neshoba County,Mississippi,1761,551,Neshoba 
50,Newton County,Mississippi,1382,531,Newton 
51,Noxubee County,Mississippi,709,302,Noxubee 
52,Oktibbeha County,Mississippi,5358,2853,Oktibbeha 
53,Panola County,Mississippi,1500,344,Panola 
54,Pearl River County,Mississippi,2980,871,Pearl River 
55,Perry County,Mississippi,640,226,Perry 
56,Pike County,Mississippi,2359,740,Pike 
57,Pontotoc County,Mississippi,1451,419,Pontotoc 
58,Prentiss County,Mississippi,1267,324,Prentiss 
59,Quitman County,Mississippi,367,55,Quitman 
60,Rankin County,Mississippi,7966,3454,Rankin 
61,Scott County,Mississippi,1571,664,Scott 
62,Sharkey County,Mississippi,241,15,Sharkey 
63,Simpson County,Mississippi,1246,369,Simpson 
64,Smith County,Mississippi,834,64,Smith 
65,Stone County,Mississippi,1383,728,Stone 
66,Sunflower County,Mississippi,1295,187,Sunflower 
67,Tallahatchie County,Mississippi,602,164,Tallahatchie 
68,Tate County,Mississippi,2438,1234,Tate 
69,Tippah County,Mississippi,1241,442,Tippah 
70,Tishomingo County,Mississippi,875,333,Tishomingo 
71,Tunica County,Mississippi,497,291,Tunica 
72,Union County,Mississippi,1249,577,Union 
73,Walthall County,Mississippi,868,157,Walthall 
74,Warren County,Mississippi,2429,660,Warren 
75,Washington County,Mississippi,2454,424,Washington 
76,Wayne County,Mississippi,1130,175,Wayne 
77,Webster County,Mississippi,625,338,Webster 
78,Wilkinson County,Mississippi,278,26,Wilkinson 
79,Winston County,Mississippi,909,326,Winston 
80,Yalobusha County,Mississippi,485,151,Yalobusha 
81,Yazoo County,Mississippi,1239,407,Yazoo 
0,Adair County,Missouri,2538,1646,Adair 
1,Andrew County,Missouri,919,375,Andrew 
2,Atchison County,Missouri,191,93,Atchison 
3,Audrain County,Missouri,1282,764,Audrain 
4,Barry County,Missouri,1816,976,Barry 
5,Barton County,Missouri,669,366,Barton 
6,Bates County,Missouri,841,575,Bates 
7,Benton County,Missouri,675,358,Benton 
8,Bollinger County,Missouri,667,349,Bollinger 
9,Boone County,Missouri,12783,7944,Boone 
10,Buchanan County,Missouri,4739,2969,Buchanan 
11,Butler County,Missouri,2254,1038,Butler 
12,Caldwell County,Missouri,497,244,Caldwell 
13,Callaway County,Missouri,2583,1334,Callaway 
14,Camden County,Missouri,1971,1132,Camden 
15,Cape Girardeau County,Missouri,4625,2465,Cape Girardeau 
16,Carroll County,Missouri,367,211,Carroll 
17,Carter County,Missouri,439,343,Carter 
18,Cass County,Missouri,5688,3569,Cass 
19,Cedar County,Missouri,660,255,Cedar 
20,Chariton County,Missouri,342,132,Chariton 
21,Christian County,Missouri,4410,2344,Christian 
22,Clark County,Missouri,226,93,Clark 
23,Clay County,Missouri,12379,7380,Clay 
24,Clinton County,Missouri,1227,538,Clinton 
25,Cole County,Missouri,4001,2230,Cole 
26,Cooper County,Missouri,889,460,Cooper 
27,Crawford County,Missouri,947,515,Crawford 
28,Dade County,Missouri,426,214,Dade 
29,Dallas County,Missouri,843,464,Dallas 
30,Daviess County,Missouri,475,237,Daviess 
31,DeKalb County,Missouri,462,125,DeKalb 
32,Dent County,Missouri,789,469,Dent 
33,Douglas County,Missouri,518,246,Douglas 
34,Dunklin County,Missouri,1626,755,Dunklin 
35,Franklin County,Missouri,5114,2951,Franklin 
36,Gasconade County,Missouri,611,322,Gasconade 
37,Gentry County,Missouri,295,180,Gentry 
38,Greene County,Missouri,16211,7917,Greene 
39,Grundy County,Missouri,597,287,Grundy 
40,Harrison County,Missouri,404,219,Harrison 
41,Henry County,Missouri,1038,497,Henry 
42,Hickory County,Missouri,462,321,Hickory 
43,Holt County,Missouri,165,108,Holt 
44,Howard County,Missouri,683,363,Howard 
45,Howell County,Missouri,1935,900,Howell 
46,Iron County,Missouri,440,222,Iron 
47,Jackson County,Missouri,33210,17710,Jackson 
48,Jasper County,Missouri,6233,3612,Jasper 
49,Jefferson County,Missouri,10743,6126,Jefferson 
50,Johnson County,Missouri,3740,2738,Johnson 
51,Knox County,Missouri,273,193,Knox 
52,Laclede County,Missouri,1635,975,Laclede 
53,Lafayette County,Missouri,1651,965,Lafayette 
54,Lawrence County,Missouri,2024,1138,Lawrence 
55,Lewis County,Missouri,806,492,Lewis 
56,Lincoln County,Missouri,3312,1362,Lincoln 
57,Linn County,Missouri,620,262,Linn 
58,Livingston County,Missouri,562,321,Livingston 
59,McDonald County,Missouri,1199,455,McDonald 
60,Macon County,Missouri,762,391,Macon 
61,Madison County,Missouri,694,377,Madison 
62,Maries County,Missouri,441,225,Maries 
63,Marion County,Missouri,1567,925,Marion 
64,Mercer County,Missouri,225,146,Mercer 
65,Miller County,Missouri,1102,648,Miller 
66,Mississippi County,Missouri,556,253,Mississippi 
67,Moniteau County,Missouri,843,416,Moniteau 
68,Monroe County,Missouri,408,234,Monroe 
69,Montgomery County,Missouri,507,297,Montgomery 
70,Morgan County,Missouri,961,434,Morgan 
71,New Madrid County,Missouri,679,268,New Madrid 
72,Newton County,Missouri,2895,1277,Newton 
73,Nodaway County,Missouri,2912,1942,Nodaway 
74,Oregon County,Missouri,448,183,Oregon 
75,Osage County,Missouri,736,456,Osage 
76,Ozark County,Missouri,461,117,Ozark 
77,Pemiscot County,Missouri,792,212,Pemiscot 
78,Perry County,Missouri,944,578,Perry 
79,Pettis County,Missouri,2370,1452,Pettis 
80,Phelps County,Missouri,3481,1900,Phelps 
81,Pike County,Missouri,815,463,Pike 
82,Platte County,Missouri,4842,3200,Platte 
83,Polk County,Missouri,2034,1135,Polk 
84,Pulaski County,Missouri,6691,5113,Pulaski 
85,Putnam County,Missouri,261,161,Putnam 
86,Ralls County,Missouri,468,239,Ralls 
87,Randolph County,Missouri,1137,589,Randolph 
88,Ray County,Missouri,1070,560,Ray 
89,Reynolds County,Missouri,303,152,Reynolds 
90,Ripley County,Missouri,545,313,Ripley 
91,St. Charles County,Missouri,19828,12801,St. Charles 
92,St. Clair County,Missouri,317,146,St. Clair 
93,Ste. Genevieve County,Missouri,802,487,Ste. Genevieve 
94,St. Francois County,Missouri,3191,1518,St. Francois 
95,St. Louis County,Missouri,50035,26725,St. Louis 
96,Saline County,Missouri,1764,962,Saline 
97,Schuyler County,Missouri,266,98,Schuyler 
98,Scotland County,Missouri,289,156,Scotland 
99,Scott County,Missouri,1586,687,Scott 
100,Shannon County,Missouri,329,182,Shannon 
101,Shelby County,Missouri,296,124,Shelby 
102,Stoddard County,Missouri,1430,818,Stoddard 
103,Stone County,Missouri,1281,760,Stone 
104,Sullivan County,Missouri,273,132,Sullivan 
105,Taney County,Missouri,2902,1496,Taney 
106,Texas County,Missouri,1239,602,Texas 
107,Vernon County,Missouri,1230,685,Vernon 
108,Warren County,Missouri,1704,835,Warren 
109,Washington County,Missouri,1344,509,Washington 
110,Wayne County,Missouri,620,240,Wayne 
111,Webster County,Missouri,2198,1005,Webster 
112,Worth County,Missouri,66,41,Worth 
113,Wright County,Missouri,994,449,Wright 
114,St. Louis city,Missouri,12753,6254,St. Louis city
0,Beaverhead County,Montana,743,533,Beaverhead 
1,Big Horn County,Montana,870,233,Big Horn 
2,Blaine County,Montana,307,146,Blaine 
3,Broadwater County,Montana,328,171,Broadwater 
4,Carbon County,Montana,424,296,Carbon 
5,Carter County,Montana,40,23,Carter 
6,Cascade County,Montana,3468,2062,Cascade 
7,Chouteau County,Montana,228,73,Chouteau 
8,Custer County,Montana,625,449,Custer 
9,Daniels County,Montana,70,26,Daniels 
10,Dawson County,Montana,421,314,Dawson 
11,Deer Lodge County,Montana,508,284,Deer Lodge 
12,Fallon County,Montana,131,96,Fallon 
13,Fergus County,Montana,468,347,Fergus 
14,Flathead County,Montana,4637,3187,Flathead 
15,Gallatin County,Montana,6621,5064,Gallatin 
16,Garfield County,Montana,41,28,Garfield 
17,Glacier County,Montana,609,155,Glacier 
18,Golden Valley County,Montana,31,18,Golden Valley 
19,Granite County,Montana,216,171,Granite 
20,Hill County,Montana,951,582,Hill 
21,Jefferson County,Montana,580,389,Jefferson 
22,Judith Basin County,Montana,94,53,Judith Basin 
23,Lake County,Montana,1423,1022,Lake 
24,Lewis and Clark County,Montana,3184,2043,Lewis and Clark 
25,Liberty County,Montana,155,80,Liberty 
26,Lincoln County,Montana,687,317,Lincoln 
27,McCone County,Montana,44,29,McCone 
28,Madison County,Montana,338,258,Madison 
29,Meagher County,Montana,41,37,Meagher 
30,Mineral County,Montana,173,113,Mineral 
31,Missoula County,Montana,6914,4744,Missoula 
32,Musselshell County,Montana,187,82,Musselshell 
33,Park County,Montana,541,366,Park 
34,Petroleum County,Montana,19,0,Petroleum 
35,Phillips County,Montana,160,122,Phillips 
36,Pondera County,Montana,370,229,Pondera 
37,Powder River County,Montana,42,22,Powder River 
38,Powell County,Montana,301,210,Powell 
39,Prairie County,Montana,43,19,Prairie 
40,Ravalli County,Montana,1946,1170,Ravalli 
41,Richland County,Montana,733,509,Richland 
42,Roosevelt County,Montana,687,283,Roosevelt 
43,Rosebud County,Montana,562,282,Rosebud 
44,Sanders County,Montana,449,268,Sanders 
45,Sheridan County,Montana,103,81,Sheridan 
46,Silver Bow County,Montana,1586,972,Silver Bow 
47,Stillwater County,Montana,480,319,Stillwater 
48,Sweet Grass County,Montana,98,83,Sweet Grass 
49,Teton County,Montana,312,223,Teton 
50,Toole County,Montana,225,145,Toole 
51,Treasure County,Montana,27,20,Treasure 
52,Valley County,Montana,344,243,Valley 
53,Wheatland County,Montana,105,55,Wheatland 
54,Wibaux County,Montana,52,8,Wibaux 
55,Yellowstone County,Montana,7447,4607,Yellowstone 
0,Adams County,Nebraska,2189,1730,Adams 
1,Antelope County,Nebraska,295,204,Antelope 
2,Arthur County,Nebraska,20,14,Arthur 
3,Banner County,Nebraska,32,14,Banner 
4,Blaine County,Nebraska,2,2,Blaine 
5,Boone County,Nebraska,243,169,Boone 
6,Box Butte County,Nebraska,495,273,Box Butte 
7,Boyd County,Nebraska,44,25,Boyd 
8,Brown County,Nebraska,121,46,Brown 
9,Buffalo County,Nebraska,3877,2892,Buffalo 
10,Burt County,Nebraska,260,100,Burt 
11,Butler County,Nebraska,454,312,Butler 
12,Cass County,Nebraska,1169,764,Cass 
13,Cedar County,Nebraska,433,335,Cedar 
14,Chase County,Nebraska,154,120,Chase 
15,Cherry County,Nebraska,309,236,Cherry 
16,Cheyenne County,Nebraska,467,289,Cheyenne 
17,Clay County,Nebraska,291,186,Clay 
18,Colfax County,Nebraska,486,311,Colfax 
19,Cuming County,Nebraska,339,202,Cuming 
20,Custer County,Nebraska,454,313,Custer 
21,Dakota County,Nebraska,787,492,Dakota 
22,Dawes County,Nebraska,1083,877,Dawes 
23,Dawson County,Nebraska,1217,900,Dawson 
24,Deuel County,Nebraska,39,23,Deuel 
25,Dixon County,Nebraska,234,128,Dixon 
26,Dodge County,Nebraska,1849,1380,Dodge 
27,Douglas County,Nebraska,29417,18086,Douglas 
28,Dundy County,Nebraska,74,29,Dundy 
29,Fillmore County,Nebraska,219,154,Fillmore 
30,Franklin County,Nebraska,104,48,Franklin 
31,Frontier County,Nebraska,177,111,Frontier 
32,Furnas County,Nebraska,240,130,Furnas 
33,Gage County,Nebraska,952,622,Gage 
34,Garden County,Nebraska,78,57,Garden 
35,Garfield County,Nebraska,63,36,Garfield 
36,Gosper County,Nebraska,80,53,Gosper 
37,Grant County,Nebraska,56,35,Grant 
38,Greeley County,Nebraska,102,75,Greeley 
39,Hall County,Nebraska,3236,2031,Hall 
40,Hamilton County,Nebraska,478,365,Hamilton 
41,Harlan County,Nebraska,122,87,Harlan 
42,Hayes County,Nebraska,22,3,Hayes 
43,Hitchcock County,Nebraska,132,80,Hitchcock 
44,Holt County,Nebraska,291,205,Holt 
45,Hooker County,Nebraska,36,24,Hooker 
46,Howard County,Nebraska,193,90,Howard 
47,Jefferson County,Nebraska,224,144,Jefferson 
48,Johnson County,Nebraska,206,108,Johnson 
49,Kearney County,Nebraska,265,179,Kearney 
50,Keith County,Nebraska,303,227,Keith 
51,Keya Paha County,Nebraska,53,19,Keya Paha 
52,Kimball County,Nebraska,201,125,Kimball 
53,Knox County,Nebraska,396,251,Knox 
54,Lancaster County,Nebraska,19674,14428,Lancaster 
55,Lincoln County,Nebraska,1689,1142,Lincoln 
56,Logan County,Nebraska,79,34,Logan 
57,Loup County,Nebraska,19,19,Loup 
58,McPherson County,Nebraska,19,11,McPherson 
59,Madison County,Nebraska,1843,1123,Madison 
60,Merrick County,Nebraska,410,290,Merrick 
61,Morrill County,Nebraska,288,148,Morrill 
62,Nance County,Nebraska,144,74,Nance 
63,Nemaha County,Nebraska,567,467,Nemaha 
64,Nuckolls County,Nebraska,205,167,Nuckolls 
65,Otoe County,Nebraska,626,387,Otoe 
66,Pawnee County,Nebraska,139,109,Pawnee 
67,Perkins County,Nebraska,115,94,Perkins 
68,Phelps County,Nebraska,368,291,Phelps 
69,Pierce County,Nebraska,350,236,Pierce 
70,Platte County,Nebraska,1852,1165,Platte 
71,Polk County,Nebraska,301,189,Polk 
72,Red Willow County,Nebraska,877,646,Red Willow 
73,Richardson County,Nebraska,405,270,Richardson 
74,Rock County,Nebraska,101,81,Rock 
75,Saline County,Nebraska,972,664,Saline 
76,Sarpy County,Nebraska,10219,6746,Sarpy 
77,Saunders County,Nebraska,1139,873,Saunders 
78,Scotts Bluff County,Nebraska,1765,1076,Scotts Bluff 
79,Seward County,Nebraska,1338,1139,Seward 
80,Sheridan County,Nebraska,184,128,Sheridan 
81,Sherman County,Nebraska,116,99,Sherman 
82,Sioux County,Nebraska,12,0,Sioux 
83,Stanton County,Nebraska,287,146,Stanton 
84,Thayer County,Nebraska,173,125,Thayer 
85,Thomas County,Nebraska,7,4,Thomas 
86,Thurston County,Nebraska,498,158,Thurston 
87,Valley County,Nebraska,205,167,Valley 
88,Washington County,Nebraska,1101,720,Washington 
89,Wayne County,Nebraska,1402,1133,Wayne 
90,Webster County,Nebraska,132,60,Webster 
91,Wheeler County,Nebraska,14,12,Wheeler 
92,York County,Nebraska,656,518,York 
0,Churchill County,Nevada,917,490,Churchill 
1,Clark County,Nevada,106298,39051,Clark 
2,Douglas County,Nevada,1962,1019,Douglas 
3,Elko County,Nevada,2979,1838,Elko 
4,Esmeralda County,Nevada,24,15,Esmeralda 
5,Eureka County,Nevada,129,19,Eureka 
6,Humboldt County,Nevada,906,469,Humboldt 
7,Lander County,Nevada,173,68,Lander 
8,Lincoln County,Nevada,296,136,Lincoln 
9,Lyon County,Nevada,2436,1127,Lyon 
10,Mineral County,Nevada,321,58,Mineral 
11,Nye County,Nevada,1865,747,Nye 
12,Pershing County,Nevada,181,74,Pershing 
13,Storey County,Nevada,236,81,Storey 
14,Washoe County,Nevada,21901,11393,Washoe 
15,White Pine County,Nevada,251,131,White Pine 
16,Carson City,Nevada,2276,1050,Carson City
0,Belknap County,New Hampshire,2751,1820,Belknap 
1,Carroll County,New Hampshire,1945,1481,Carroll 
2,Cheshire County,New Hampshire,4944,3833,Cheshire 
3,Coos County,New Hampshire,1197,789,Coos 
4,Grafton County,New Hampshire,6466,4028,Grafton 
5,Hillsborough County,New Hampshire,19887,12632,Hillsborough 
6,Merrimack County,New Hampshire,7990,5441,Merrimack 
7,Rockingham County,New Hampshire,13706,9703,Rockingham 
8,Strafford County,New Hampshire,9127,7230,Strafford 
9,Sullivan County,New Hampshire,1913,812,Sullivan 
0,Atlantic County,New Jersey,13980,6899,Atlantic 
1,Bergen County,New Jersey,46082,17424,Bergen 
2,Burlington County,New Jersey,21080,10211,Burlington 
3,Camden County,New Jersey,24351,10835,Camden 
4,Cape May County,New Jersey,3658,2405,Cape May 
5,Cumberland County,New Jersey,7192,2509,Cumberland 
6,Essex County,New Jersey,39651,12809,Essex 
7,Gloucester County,New Jersey,14847,7649,Gloucester 
8,Hudson County,New Jersey,25296,7155,Hudson 
9,Hunterdon County,New Jersey,7289,3138,Hunterdon 
10,Mercer County,New Jersey,22273,10601,Mercer 
11,Middlesex County,New Jersey,44100,15210,Middlesex 
12,Monmouth County,New Jersey,32624,17999,Monmouth 
13,Morris County,New Jersey,26023,12289,Morris 
14,Ocean County,New Jersey,27100,13239,Ocean 
15,Passaic County,New Jersey,27166,9728,Passaic 
16,Salem County,New Jersey,3045,1134,Salem 
17,Somerset County,New Jersey,16798,7609,Somerset 
18,Sussex County,New Jersey,7035,3575,Sussex 
19,Union County,New Jersey,27135,10688,Union 
20,Warren County,New Jersey,5471,2840,Warren 
0,Bernalillo County,New Mexico,34511,15658,Bernalillo 
1,Catron County,New Mexico,186,22,Catron 
2,Chaves County,New Mexico,4146,1952,Chaves 
3,Cibola County,New Mexico,1521,427,Cibola 
4,Colfax County,New Mexico,544,303,Colfax 
5,Curry County,New Mexico,2790,1448,Curry 
6,De Baca County,New Mexico,283,76,De Baca 
7,Doña Ana County,New Mexico,14450,5468,Doña Ana 
8,Eddy County,New Mexico,3241,1846,Eddy 
9,Grant County,New Mexico,1382,611,Grant 
10,Guadalupe County,New Mexico,52,39,Guadalupe 
11,Harding County,New Mexico,7,0,Harding 
12,Hidalgo County,New Mexico,131,53,Hidalgo 
13,Lea County,New Mexico,4498,2057,Lea 
14,Lincoln County,New Mexico,670,241,Lincoln 
15,Los Alamos County,New Mexico,960,637,Los Alamos 
16,Luna County,New Mexico,1244,484,Luna 
17,McKinley County,New Mexico,4510,589,McKinley 
18,Mora County,New Mexico,116,108,Mora 
19,Otero County,New Mexico,3494,1472,Otero 
20,Quay County,New Mexico,218,126,Quay 
21,Rio Arriba County,New Mexico,2231,584,Rio Arriba 
22,Roosevelt County,New Mexico,1328,731,Roosevelt 
23,Sandoval County,New Mexico,7647,3334,Sandoval 
24,San Juan County,New Mexico,7185,2114,San Juan 
25,San Miguel County,New Mexico,1904,666,San Miguel 
26,Santa Fe County,New Mexico,6636,2219,Santa Fe 
27,Sierra County,New Mexico,360,194,Sierra 
28,Socorro County,New Mexico,1031,595,Socorro 
29,Taos County,New Mexico,1335,477,Taos 
30,Torrance County,New Mexico,1048,296,Torrance 
31,Union County,New Mexico,42,19,Union 
32,Valencia County,New Mexico,4343,1748,Valencia 
0,Albany County,New York,19917,11649,Albany 
1,Allegany County,New York,4078,1950,Allegany 
2,Bronx County,New York,76754,19236,Bronx 
3,Broome County,New York,12778,6017,Broome 
4,Cattaraugus County,New York,4106,1967,Cattaraugus 
5,Cayuga County,New York,3770,2208,Cayuga 
6,Chautauqua County,New York,7297,3789,Chautauqua 
7,Chemung County,New York,4091,2218,Chemung 
8,Chenango County,New York,2134,959,Chenango 
9,Clinton County,New York,4981,3071,Clinton 
10,Columbia County,New York,2367,1114,Columbia 
11,Cortland County,New York,4073,2358,Cortland 
12,Delaware County,New York,2822,1422,Delaware 
13,Dutchess County,New York,17027,8856,Dutchess 
14,Erie County,New York,46540,26229,Erie 
15,Essex County,New York,1534,945,Essex 
16,Franklin County,New York,2682,1399,Franklin 
17,Fulton County,New York,2243,1060,Fulton 
18,Genesee County,New York,2546,1554,Genesee 
19,Greene County,New York,1966,894,Greene 
20,Hamilton County,New York,194,115,Hamilton 
21,Herkimer County,New York,3279,1563,Herkimer 
22,Jefferson County,New York,5124,3037,Jefferson 
23,Kings County,New York,107178,24334,Kings 
24,Lewis County,New York,1256,559,Lewis 
25,Livingston County,New York,4514,2260,Livingston 
26,Madison County,New York,5327,2951,Madison 
27,Monroe County,New York,41177,21849,Monroe 
28,Montgomery County,New York,2416,948,Montgomery 
29,Nassau County,New York,68114,26219,Nassau 
30,New York County,New York,56678,16959,New York 
31,Niagara County,New York,10342,6284,Niagara 
32,Oneida County,New York,11886,5712,Oneida 
33,Onondaga County,New York,27295,14686,Onondaga 
34,Ontario County,New York,5703,3718,Ontario 
35,Orange County,New York,23420,9029,Orange 
36,Orleans County,New York,1924,891,Orleans 
37,Oswego County,New York,7690,4421,Oswego 
38,Otsego County,New York,4730,3246,Otsego 
39,Putnam County,New York,4783,2267,Putnam 
40,Queens County,New York,91648,24629,Queens 
41,Rensselaer County,New York,9233,4931,Rensselaer 
42,Richmond County,New York,22945,6658,Richmond 
43,Rockland County,New York,18871,6711,Rockland 
44,St. Lawrence County,New York,8622,4811,St. Lawrence 
45,Saratoga County,New York,11641,7159,Saratoga 
46,Schenectady County,New York,7696,3854,Schenectady 
47,Schoharie County,New York,2037,1096,Schoharie 
48,Schuyler County,New York,736,378,Schuyler 
49,Seneca County,New York,1432,873,Seneca 
50,Steuben County,New York,4488,2175,Steuben 
51,Suffolk County,New York,77622,34636,Suffolk 
52,Sullivan County,New York,3861,1676,Sullivan 
53,Tioga County,New York,2273,1165,Tioga 
54,Tompkins County,New York,11394,5272,Tompkins 
55,Ulster County,New York,8829,4674,Ulster 
56,Warren County,New York,2795,1783,Warren 
57,Washington County,New York,2614,1255,Washington 
58,Wayne County,New York,4209,2437,Wayne 
59,Westchester County,New York,52257,22562,Westchester 
60,Wyoming County,New York,1538,847,Wyoming 
61,Yates County,New York,1532,971,Yates 
0,Alamance County,North Carolina,10760,4427,Alamance 
1,Alexander County,North Carolina,1724,675,Alexander 
2,Alleghany County,North Carolina,501,217,Alleghany 
