County-State,SVI
FURNAS-NE,0.1825
SIOUX-NE,0.0178
JEFFERSON-NE,0.2185
PLATTE-NE,0.2994
DUNDY-NE,0.3038
LOUP-NE,0.0045
SHERMAN-NE,0.0739
WAYNE-NE,0.0847
WEBSTER-NE,0.1092
NUCKOLLS-NE,0.1736
RED WILLOW-NE,0.2373
KEYA PAHA-NE,0.001
SAUNDERS-NE,0.0424
RICHARDSON-NE,0.1025
MERRICK-NE,0.1975
WHEELER-NE,0.0048
BOONE-NE,0.0283
HOOKER-NE,0.1468
THOMAS-NE,0.0035
GOSPER-NE,0.0051
ROCK-NE,0.0092
HAYES-NE,0.0436
BROWN-NE,0.1252
CHASE-NE,0.1551
DEUEL-NE,0.165
GARDEN-NE,0.0143
BUTLER-NE,0.1172
CUMING-NE,0.1936
PIERCE-NE,0.0229
GREELEY-NE,0.0411
DAWES-NE,0.1717
YORK-NE,0.1828
HITCHCOCK-NE,0.1943
KEITH-NE,0.2268
CASS-NE,0.0108
BLAINE-NE,0.0908
PAWNEE-NE,0.2318
HAMILTON-NE,0.0089
CEDAR-NE,0.0121
GARFIELD-NE,0.043
PERKINS-NE,0.0538
STANTON-NE,0.057
FRANKLIN-NE,0.0768
FRONTIER-NE,0.0994
CLAY-NE,0.1646
CUSTER-NE,0.1818
THAYER-NE,0.058
HOLT-NE,0.0981
CHEYENNE-NE,0.121
NEMAHA-NE,0.1659
BUFFALO-NE,0.2656
LANCASTER-NE,0.3025
KNOX-NE,0.3277
BOX BUTTE-NE,0.3586
LINCOLN-NE,0.3675
ADAMS-NE,0.3592
DIXON-NE,0.379
MADISON-NE,0.5105
MORRILL-NE,0.422
DOUGLAS-NE,0.4669
COLFAX-NE,0.5188
DODGE-NE,0.5691
SHERIDAN-NE,0.5968
KIMBALL-NE,0.5611
SCOTTS BLUFF-NE,0.5675
JOHNSON-NE,0.5777
SALINE-NE,0.5978
HALL-NE,0.6701
DAWSON-NE,0.7933
DAKOTA-NE,0.8615
THURSTON-NE,0.8866
NEW CASTLE-DE,0.3761
SUSSEX-DE,0.4019
KENT-DE,0.7268
MATANUSKA-SUSITNA-AK,0.3172
SKAGWAY-AK,0.1685
HAINES-AK,0.207
VALDEZ-CORDOVA-AK,0.2704
JUNEAU CITY AND BOROUGH-AK,0.2987
DENALI-AK,0.101
BRISTOL BAY-AK,0.3525
FAIRBANKS NORTH STAR-AK,0.3446
ANCHORAGE-AK,0.4602
SITKA CITY AND BOROUGH-AK,0.4022
ALEUTIANS WEST-AK,0.4927
HOONAH-ANGOON-AK,0.4178
KETCHIKAN GATEWAY-AK,0.5548
YAKUTAT CITY AND BOROUGH-AK,0.5873
ALEUTIANS EAST-AK,0.5803
SOUTHEAST FAIRBANKS-AK,0.5838
WRANGELL CITY AND BOROUGH-AK,0.5618
PETERSBURG-AK,0.665
KODIAK ISLAND-AK,0.7006
NORTH SLOPE-AK,0.7344
PRINCE OF WALES-HYDER-AK,0.7662
LAKE AND PENINSULA-AK,0.7978
YUKON-KOYUKUK-AK,0.8812
NORTHWEST ARCTIC-AK,0.9354
DILLINGHAM-AK,0.8682
BETHEL-AK,0.9748
WRIGHT-MN,0.0462
CHISAGO-MN,0.0592
GOODHUE-MN,0.1707
MARTIN-MN,0.1933
HUBBARD-MN,0.2051
ROSEAU-MN,0.2478
SCOTT-MN,0.1108
BROWN-MN,0.1274
LAKE-MN,0.1102
RED LAKE-MN,0.1525
CLAY-MN,0.2217
STEVENS-MN,0.2258
AITKIN-MN,0.3083
MEEKER-MN,0.1869
RENVILLE-MN,0.1968
BIG STONE-MN,0.2006
MURRAY-MN,0.1064
MARSHALL-MN,0.1411
ROCK-MN,0.1532
CROW WING-MN,0.1223
MCLEOD-MN,0.1261
FARIBAULT-MN,0.157
COOK-MN,0.2029
WABASHA-MN,0.0589
FILLMORE-MN,0.2169
OLMSTED-MN,0.2599
SHERBURNE-MN,0.0885
ISANTI-MN,0.1022
OTTER TAIL-MN,0.2099
WASECA-MN,0.2503
LINCOLN-MN,0.0666
LAKE OF THE WOODS-MN,0.1576
CARLTON-MN,0.2666
BLUE EARTH-MN,0.2838
ANOKA-MN,0.1404
DOUGLAS-MN,0.0446
LAC QUI PARLE-MN,0.1006
LE SUEUR-MN,0.1146
SIBLEY-MN,0.1315
PENNINGTON-MN,0.3016
HOUSTON-MN,0.0185
WASHINGTON-MN,0.0682
NICOLLET-MN,0.2513
KANABEC-MN,0.2841
GRANT-MN,0.0946
WINONA-MN,0.2115
STEELE-MN,0.3013
BECKER-MN,0.299
JACKSON-MN,0.0306
POPE-MN,0.0315
DODGE-MN,0.0573
MORRISON-MN,0.2682
HENNEPIN-MN,0.3092
CARVER-MN,0.0124
DAKOTA-MN,0.1207
REDWOOD-MN,0.2293
KITTSON-MN,0.0997
WILKIN-MN,0.1924
TRAVERSE-MN,0.2602
SWIFT-MN,0.3213
YELLOW MEDICINE-MN,0.3344
CHIPPEWA-MN,0.3522
NORMAN-MN,0.3248
ITASCA-MN,0.3293
CASS-MN,0.35
RICE-MN,0.393
STEARNS-MN,0.3885
POLK-MN,0.3669
KOOCHICHING-MN,0.4366
PIPESTONE-MN,0.4646
TODD-MN,0.4812
LYON-MN,0.4532
PINE-MN,0.4631
BENTON-MN,0.4318
FREEBORN-MN,0.4328
COTTONWOOD-MN,0.4726
WATONWAN-MN,0.5191
KANDIYOHI-MN,0.4064
MILLE LACS-MN,0.5917
RAMSEY-MN,0.6334
MOWER-MN,0.6283
WADENA-MN,0.6554
BELTRAMI-MN,0.7771
CLEARWATER-MN,0.7917
NOBLES-MN,0.815
MAHNOMEN-MN,0.8717
GLOUCESTER-NJ,0.1675
WARREN-NJ,0.2178
SOMERSET-NJ,0.1
MONMOUTH-NJ,0.1605
BERGEN-NJ,0.2395
SUSSEX-NJ,0.0191
HUNTERDON-NJ,0.0264
BURLINGTON-NJ,0.2054
MORRIS-NJ,0.1201
OCEAN-NJ,0.3354
CAPE MAY-NJ,0.3398
MIDDLESEX-NJ,0.4659
MERCER-NJ,0.558
UNION-NJ,0.6232
SALEM-NJ,0.5901
CAMDEN-NJ,0.6118
HUDSON-NJ,0.6424
ATLANTIC-NJ,0.7911
ESSEX-NJ,0.8404
PASSAIC-NJ,0.7764
CUMBERLAND-NJ,0.9592
ARCHER-TX,0.0898
FORT BEND-TX,0.2873
RANDALL-TX,0.2204
